main_category,title,average_rating,rating_number,features,description,price,images,videos,store,categories,details,parent_asin,bought_together,subtitle,author
Digital Music,30,4.6,40466,[],"['30 is the first new music from Adele since the release of her third studio album 25 in November 2015. The album is produced with former collaborators Greg Kurstin, Max Martin and Shellback and Tobias Jesso Jr as well as new collaborators Inflo and Ludwig Goransson. The album is available on CD, Double BLACK VINYL LP, and digital formats. AMAZON will also have an EXCLUSIVE WHITE VINYL version of the LP. This is the black vinyl version.']",13.83,"[{'thumb': 'https://m.media-amazon.com/images/I/41-FEUn3KJL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41-FEUn3KJL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71-llhQmneL._SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31WnLULPzeL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31WnLULPzeL.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/71ibmN-UNRL._SL1500_.jpg'}]","[{'title': 'Strangers by Nature ', 'url': 'https://www.amazon.com/vdp/0e25d04c7b96431cbfad13cedf790f30?ref=dp_vse_rvc_0', 'user_id': 'AHKC7FOGDMZ2QA7FRJXOAUYTCHLA'}, {'title': 'Loved it', 'url': 'https://www.amazon.com/vdp/0634b2dbbb424804adcb6818ac9ef5e0?ref=dp_vse_rvc_1', 'user_id': 'AHIN54ZZT2R6ZZXVBEV6EOYWED4A'}]",Adele   Format: Vinyl,"['CDs & Vinyl', 'Pop']","{'Product Dimensions': '12.1 x 12.1 x 0.2 inches; 2.4 Ounces', 'Manufacturer': 'Columbia Records Group', 'Item model number': '19439937971', 'Original Release Date': '2021', 'Run time': '58 minutes', 'Date First Available': 'October 14, 2021', 'Label': 'Columbia Records Group', 'Number of discs': '2'}",B09HVSKCGQ,,,
Digital Music,30,4.6,39104,[],"['30 is the first new music from Adele since the release of her third studio album 25 in November 2015. The album is produced with former collaborators Greg Kurstin, Max Martin and Shellback and Tobias Jesso Jr as well as new collaborators Inflo and Ludwig Goransson. The album is available on CD, Double BLACK VINYL LP, and digital formats. AMAZON will also have an EXCLUSIVE WHITE VINYL version of the LP. This is the CD version.']",7.27,"[{'thumb': 'https://m.media-amazon.com/images/I/41-FEUn3KJL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41-FEUn3KJL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71-llhQmneL._SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31GuZJCaQcL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31GuZJCaQcL.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/718-FxA-ccL._SL1500_.jpg'}]",[],Adele   Format: Audio CD,"['CDs & Vinyl', 'Pop', 'Dance Pop']","{'Product Dimensions': '4.9 x 5.6 x 0.4 inches; 3.2 Ounces', 'Manufacturer': 'Columbia Records Group', 'Item model number': '19439937972', 'Original Release Date': '2021', 'Run time': '58 minutes', 'Date First Available': 'October 6, 2021', 'Label': 'Columbia Records Group', 'Number of discs': '1'}",B09HVRTMFX,,,
Digital Music,30 (Amazon Exclusive White Vinyl),4.6,39103,[],"['30 is the first new music from Adele since the release of her third studio album 25 in November 2015. The album is produced with former collaborators Greg Kurstin, Max Martin and Shellback and Tobias Jesso Jr as well as new collaborators Inflo and Ludwig Goransson. The album is available on CD, Double BLACK VINYL LP, and digital formats. AMAZON will also have an EXCLUSIVE WHITE VINYL version of the LP. This is the Amazon Exclusive version.']",31.52,"[{'thumb': 'https://m.media-amazon.com/images/I/41DK7nZQHPL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41DK7nZQHPL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/61JEK0GG+wL._SL1170_.jpg'}]","[{'title': 'Adele 30 unboxed', 'url': 'https://www.amazon.com/vdp/0d2e54136f2a4cc29ce013d89faa313c?ref=dp_vse_rvc_0', 'user_id': 'AEAGHLO4TYDFVQUOUMV46IW56I4A'}, {'title': 'Love it, good quality , pretty, plays well, arrived fast.', 'url': 'https://www.amazon.com/vdp/0185d6ef8e6644ad8fb488e5d720c76e?ref=dp_vse_rvc_1', 'user_id': 'AFLUXKQRH7LBJUWPA4734P3ECTMA'}, {'title': 'Great starter record player! Record cleaner kit helps keep my record playing great! Also bluetooth!', 'url': 'https://www.amazon.com/vdp/0aa07c0297ae4196a64466fadf94b56f?ref=dp_vse_rvc_2', 'user_id': '/shop/ambercarrillo'}, {'title': 'Love ', 'url': 'https://www.amazon.com/vdp/00fc0a2da6bf460e86c935ffc8df6a81?ref=dp_vse_rvc_3', 'user_id': 'AELC3RWGIT5RJOICEBIXGRPB2EEQ'}, {'title': 'Adele 30 Amazon Exclusive White Vinyl', 'url': 'https://www.amazon.com/vdp/06225aa2b6c348a09b66332c91901acf?ref=dp_vse_rvc_4', 'user_id': ''}, {'title': 'Warped.', 'url': 'https://www.amazon.com/vdp/0d78ac49468c46719a26c9cfd7abde8b?ref=dp_vse_rvc_5', 'user_id': 'AELRJR3UJWBBHWXQPGI5F44JO4MA'}, {'title': 'This white pressing is AMAZING!!! Adele did an incredible job with this album!!', 'url': 'https://www.amazon.com/vdp/047d82c84f974e639d853c295524ceaa?ref=dp_vse_rvc_6', 'user_id': 'AGIVIVXTPU7NEZYKI7THQMYD7Z2Q'}, {'title': 'Amazing quality and sound!', 'url': 'https://www.amazon.com/vdp/0ba7bab28aa6401eadb971b362190e9c?ref=dp_vse_rvc_7', 'user_id': '/shop/influencer-32ae1ba1'}, {'title': 'Calling all Adele fans\U0001faf6🏽✨', 'url': 'https://www.amazon.com/vdp/049d03c1219e4fbdb64104d3a13be3e0?ref=dp_vse_rvc_8', 'user_id': 'AELSUPVO5FBGO356XTCWC4CTIWYQ'}]",Adele   Format: Vinyl,"['CDs & Vinyl', 'Pop']","{'Product Dimensions': '12.1 x 12.3 x 0.1 inches; 1.05 Pounds', 'Manufacturer': 'Columbia Records Group', 'Original Release Date': '2021', 'Date First Available': 'October 14, 2021', 'Label': 'Columbia Records Group', 'Country of Origin': 'USA', 'Number of discs': '2'}",B09HVTKLPQ,,,
Digital Music,The Perks Of Being A Wallflower Soundtrack,4.7,38460,[],"[""The Perks of Being a Wallflower is a 2012 American coming-of-age comedy-drama film, and an adaptation of the 1999 epistolary novel of the same name; it was directed by the novel's author, Stephen Chbosky. Filmed in Pittsburgh, Pennsylvania, the film was released on September 21, 2012, to positive critical response and commercial success, earning $33 million worldwide. The film stars Logan Lerman, Emma Watson and Ezra Miller. This is one of the three films from John Malkovich, Lianne Halfon and Russell Smith's Mr. Mudd Productions that feature struggling teenagers; the other two are Ghost World and Juno.""]",149.99,"[{'thumb': 'https://m.media-amazon.com/images/I/41Q3MS2pe+L._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41Q3MS2pe+L.jpg', 'variant': 'MAIN', 'hi_res': None}]",[],Stephen Chbosky   Format: Vinyl,"['CDs & Vinyl', 'Soundtracks']","{'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '11.42 x 11.38 x 0.16 inches; 8.32 Ounces', 'Manufacturer': 'Atlantic', 'Item model number': '33339312', 'Original Release Date': '2012', 'Date First Available': 'July 25, 2012', 'Label': 'Atlantic', 'Number of discs': '1'}",B008OW1S02,,,
Digital Music,The Perks of Being a Wallflower Original Soundtrack,4.6,37816,[],"['""The Perks of Being a Wallflower"" is based on the novel written by Stephen Chbosky, this is about 15-year-old Charlie (Logan Lerman), an endearing and naive outsider, coping with first love (Emma Watson), the suicide of his best friend, and his own mental illness while struggling to find a group of people with whom he belongs. The introvert freshman is taken under the wings of two seniors, Sam and Patrick, who welcome him to the real world.']",,"[{'thumb': 'https://m.media-amazon.com/images/I/51Dppbi4dWL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51Dppbi4dWL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/81+4o4TtbiL._SL1425_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51hwzYSfyzL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51hwzYSfyzL.jpg', 'variant': 'BACK', 'hi_res': None}]",[],Stephen Chbosky   Format: Audio CD,"['CDs & Vinyl', 'Pop']","{'Is Discontinued By Manufacturer': 'No', 'Language': 'English', 'Product Dimensions': '4.92 x 5.51 x 0.51 inches; 3.17 Ounces', 'Manufacturer': 'Atlantic', 'Item model number': '25524654', 'Date First Available': 'July 12, 2012', 'Label': 'Atlantic', 'Number of discs': '1'}",B008KL4KB6,,,
Digital Music,PWR/UP - Exclusive Limited Edition Opaque Red Colored Vinyl LP,4.8,28874,[],[],60.0,"[{'thumb': 'https://m.media-amazon.com/images/I/51SEmyNlz2L._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51SEmyNlz2L.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/61GTzoho-wL._SL1000_.jpg'}]",[],AC/DC   Format: Vinyl,"['CDs & Vinyl', 'Vinyl Store']",{},B08NRGGJ3N,,,
Digital Music,POWER UP,4.8,28753,[],[],24.55,"[{'thumb': 'https://m.media-amazon.com/images/I/51LHEwPR5DL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51LHEwPR5DL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71Dztr9-I2L._SL1500_.jpg'}]",[],AC/DC   Format: Vinyl,"['CDs & Vinyl', 'Rock']","{'Product Dimensions': '12.2 x 12.3 x 0.4 inches; 2.4 Ounces', 'Manufacturer': 'Columbia Records Group', 'Item model number': '19439725561', 'Original Release Date': '2020', 'Run time': '41 minutes', 'Date First Available': 'October 7, 2020', 'Label': 'Columbia Records Group', 'Country of Origin': 'USA', 'Number of discs': '1'}",B08KH2L8DH,,,
Digital Music,POWER UP,4.8,28753,[],[],8.85,"[{'thumb': 'https://m.media-amazon.com/images/I/41soqdQyqOL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41soqdQyqOL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71eF+OAPvaL._SL1500_.jpg'}]","[{'title': 'Amazon got AC/DC to me on time', 'url': 'https://www.amazon.com/vdp/b4b48489e4c942fa9fee8d0b9feaf656?ref=dp_vse_rvc_0', 'user_id': 'AG7BMQNI7JAUMBHJ6HQ2QBJIR3TQ'}, {'title': 'The ANTI -2020 Album !!!', 'url': 'https://www.amazon.com/vdp/c861c70ceffc4eb7a009c1d54799ba9b?ref=dp_vse_rvc_1', 'user_id': 'AFHY3SRGWU4CIECK5FGXHO7PFRJQ'}]",AC/DC   Format: Audio CD,"['CDs & Vinyl', 'Rock']","{'Product Dimensions': '4.9 x 5.7 x 0.1 inches; 2.4 Ounces', 'Manufacturer': 'Columbia Records Group', 'Item model number': '19439744632', 'Original Release Date': '2020', 'Run time': '41 minutes', 'Date First Available': 'October 7, 2020', 'Label': 'Columbia Records Group', 'Country of Origin': 'USA', 'Number of discs': '1'}",B08KGT79CH,,,
Digital Music,25,4.7,26152,[],['Adele - 25 - CD'],7.97,"[{'thumb': 'https://m.media-amazon.com/images/I/51ILepzHJoL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51ILepzHJoL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71VcJXBDgEL._SL1200_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51doK8Hk-+L._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51doK8Hk-+L.jpg', 'variant': 'BACK', 'hi_res': 'https://m.media-amazon.com/images/I/919aDxNrM-L._SL1500_.jpg'}]",[],Adele   Format: Audio CD,"['CDs & Vinyl', 'Rock']","{'Is Discontinued By Manufacturer': 'No', 'Language': 'English', 'Product Dimensions': '0.39 x 4.92 x 5.59 inches; 3.7 Ounces', 'Manufacturer': 'XL Recordings', 'Item model number': '119602', 'Date First Available': 'October 27, 2015', 'Label': 'XL Recordings', 'Number of discs': '1'}",B00L98V4UW,,,
Digital Music,25,4.7,26084,[],['Adele - 25 - CD'],6.67,"[{'thumb': 'https://m.media-amazon.com/images/I/51ILepzHJoL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51ILepzHJoL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71VcJXBDgEL._SL1200_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51doK8Hk-+L._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51doK8Hk-+L.jpg', 'variant': 'BACK', 'hi_res': 'https://m.media-amazon.com/images/I/919aDxNrM-L._SL1500_.jpg'}]",[],Adele   Format: Audio CD,"['CDs & Vinyl', 'Rock']","{'Is Discontinued By Manufacturer': 'No', 'Language': 'English', 'Product Dimensions': '0.39 x 4.92 x 5.59 inches; 3.7 Ounces', 'Manufacturer': 'XL Recordings', 'Item model number': '119602', 'Date First Available': 'October 27, 2015', 'Label': 'XL Recordings', 'Number of discs': '1'}",B0177IEEFE,,,
