,Facial Spray,Music,Perfume,Video Games
Rating_mean,4.308368660700267,3.935465768799102,4.3315744263099765,4.384583845838458
Rating_median,5.0,5.0,5.0,5.0
Rating_std,1.2640146488113397,1.514959757752379,1.2288508297674363,1.2555472241524488
RewExt_mean,-0.19163133929973308,-0.7108866442199774,-0.26842557369002307,-0.4154161541615415
RewExt_median,0.5,0.2000000000000001,0.4000000000000003,0.2000000000000001
RewExt_std,1.2640146488113408,1.4950430540132447,1.228850829767437,1.2555472241524492
Sentiment_mean,4.350447479981159,3.953423120089787,4.353908455025157,4.360393603936039
Sentiment_median,5.0,5.0,5.0,5.0
Sentiment_std,1.301682884969178,1.5178396611392346,1.2630918739139316,1.308176787062858
Subjective_mean,0.8182019389315347,0.8154901476743119,0.7868021691856538,0.8003786981908445
Subjective_median,0.9088838696479796,0.9167304933071136,0.8834538459777832,0.9024795889854432
Subjective_std,0.20663915151448722,0.22776404491102234,0.2307031314945381,0.23614093429360092
WordC_mean,30.87753179463024,30.30695847362514,22.883666707571482,33.97170971709717
WordC_median,21.0,16.0,13.0,15.0
WordC_std,37.20520323052402,47.79919567401795,30.0379969567404,63.73144359236559
SentC_mean,2.6891191709844557,2.7586980920314255,2.202478831758498,2.5858958589585894
SentC_median,2.0,2.0,2.0,2.0
SentC_std,2.1225213137113825,2.9011643753942034,1.8480545412891867,2.9902600171694544
SentL_mean,12.566393313642013,11.732755994181423,11.247195363702406,12.5860541157213
SentL_median,11.0,10.0,9.0,10.0
SentL_std,8.15619717427231,8.054373204169677,8.52558275792038,10.148010358279018
TitleL_mean,1.5308525671219972,1.771604938271605,1.4869309117683152,1.5990159901599017
TitleL_median,1.0,1.0,1.0,1.0
TitleL_std,1.865372581177318,2.3339935015520576,1.6426543971858232,1.860808353103472
ElapDays_mean,1800.204741717695,726.6195286195286,1699.860719106639,1013.8876588765887
ElapDays_median,1915.0,581.0,1450.0,1042.0
ElapDays_std,734.4267468689166,577.6135603193517,1085.9342323367218,390.7790231863555
Image_mean,0.03469932485476527,0.03535353535353535,0.02883789422014971,0.04551045510455105
Image_median,0.0,0.0,0.0,0.0
Image_std,0.1830315318376674,0.18472360838581042,0.16736100881847465,0.20846359672153375
VerPur_mean,0.9112890563667766,0.9259259259259259,0.9476009326297705,0.9216892168921689
VerPur_median,1.0,1.0,1.0,1.0
VerPur_std,0.28434839025848646,0.26196491381647213,0.2228441137807979,0.2687151090931899
NounR_mean,0.18409243692628718,0.17969218354294084,0.19281397453636762,0.20821982596541583
NounR_median,0.1764705882352941,0.1666666666666666,0.1818181818181818,0.1939393939393939
NounR_std,0.09516926906184213,0.11777053538169042,0.1182350354564863,0.1304054146124636
AdjR_mean,0.1110265076857342,0.11344038481535806,0.13681315988537796,0.08897524721367912
AdjR_median,0.0909090909090909,0.1,0.1111111111111111,0.075268817204301
AdjR_std,0.09608569501947879,0.0967529988553699,0.12079312427026935,0.09109450192937313
AdvR_mean,0.07198938310228509,0.06574145536068784,0.07511245076708668,0.058885751897553525
AdvR_median,0.0625,0.0526315789473684,0.0571428571428571,0.0465116279069767
AdvR_std,0.07291780822938823,0.074844008782129,0.08815859896071389,0.07226545265518654
FRE_mean,84.43401475898885,85.49872615039283,88.81655049699349,87.1539442394424
FRE_median,85.02,86.74,90.29,87.72
FRE_std,16.72034385392166,19.170572104572106,19.73396952360013,18.928696955677548
