,Battery,Filter,Gaming Mouse,Toilet Paper
Rating_mean,3.915310805173133,3.9834104938271606,3.8091660405709993,3.749720044792833
Rating_median,5.0,5.0,5.0,5.0
Rating_std,1.5444019002624076,1.5684629046202598,1.5567572440694473,1.5497582462633626
RewExt_mean,-0.6846891948268667,-0.7165895061728397,-0.890833959429001,-0.7502799552071668
RewExt_median,0.4000000000000003,0.2999999999999998,0.2999999999999998,0.5
RewExt_std,1.544401900262407,1.5684629046202574,1.5567572440694468,1.5497582462633628
Sentiment_mean,3.875399805312196,3.8952546296296298,3.7650889055847734,3.7150055991041433
Sentiment_median,5.0,5.0,5.0,5.0
Sentiment_std,1.6693405719446337,1.6581304931678118,1.6006365681209596,1.6274841559412425
Subjective_mean,0.7576337296105409,0.7851262877229601,0.8204959291351818,0.7717763319015002
Subjective_median,0.8319372534751892,0.8521406352519989,0.8858014345169067,0.8284088969230652
Subjective_std,0.23115981364923377,0.20752886457990702,0.1853778493200247,0.20169401755849153
WordC_mean,27.252398831873176,27.031828703703702,62.289256198347104,24.443449048152296
WordC_median,17.0,15.0,40.0,16.0
WordC_std,32.553499127450394,33.37578804351065,75.10395419112764,25.73846904914434
SentC_mean,2.345014601585315,2.4145447530864197,3.788379664412722,2.328107502799552
SentC_median,2.0,2.0,3.0,2.0
SentC_std,1.8683744793796204,2.0691379646999435,3.753828400370217,1.7347541585704798
SentL_mean,12.328681268226104,11.50686818830929,18.048468858066563,11.813492298748539
SentL_median,10.666666666666666,10.0,15.666666666666666,10.0
SentL_std,8.302371496203351,7.666423806663579,12.36718310413666,7.983294071760547
TitleL_mean,1.294812960645251,1.3871527777777777,1.275732531930879,1.3706606942889137
TitleL_median,1.0,1.0,1.0,1.0
TitleL_std,1.3659375278913088,1.4913723436140733,1.295651204867797,1.4131480681082835
ElapDays_mean,1728.8491169517451,1178.3676697530864,851.1700475832707,300.81131019036957
ElapDays_median,1648.0,1087.0,858.0,301.0
ElapDays_std,932.4322513612267,685.685048380336,404.07797750958815,115.59770725420154
Image_mean,0.02169378389653734,0.01273148148148148,0.041823190583521165,0.032474804031354984
Image_median,0.0,0.0,0.0,0.0
Image_std,0.14569185082931826,0.11212410971593657,0.2002100144671181,0.17730705987764425
VerPur_mean,0.9584202475316368,0.9783950617283951,0.9178562484347609,0.961926091825308
VerPur_median,1.0,1.0,1.0,1.0
VerPur_std,0.1996407252916785,0.1454037251198023,0.2746179936868002,0.19142832470171953
NounR_mean,0.1943308692383545,0.19438112557246043,0.19970298967559874,0.1999588655245672
NounR_median,0.1857142857142857,0.1932295645530939,0.1940298507462686,0.1864406779661017
NounR_std,0.11948104247250879,0.12155645789410509,0.08541777743876541,0.11796683689591023
AdjR_mean,0.11375845390824287,0.12542250586345235,0.11046451794163317,0.13635039572722038
AdjR_median,0.0952380952380952,0.1,0.0943396226415094,0.1176470588235294
AdjR_std,0.10314563110248658,0.11130236344120605,0.08077982668347079,0.10790716950317435
AdvR_mean,0.09517654772863954,0.07191012848499423,0.0748577039312522,0.08039633414753027
AdvR_median,0.0714285714285714,0.054054054054054,0.0689655172413793,0.0689655172413793
AdvR_std,0.10793968609196415,0.08508645584887191,0.06304660478976754,0.08141742521757504
FRE_mean,82.01502989848422,79.07282214506174,78.57088655146507,85.17764277715565
FRE_median,82.99,81.29,79.26,86.5
FRE_std,19.763647405570346,20.231722060770874,17.785182364510085,17.985961185394466
