rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
5.0,Nice product,Nice,[],B00LMIVLXY,B00LMIVLXY,AE2TA5GQH4JI5RQ4W5H5PQOVYBGA,2020-11-22 13:31:19.414,0,True
5.0,Good Product,Good Product,[],B00LMIVLXY,B00LMIVLXY,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,2021-04-23 22:34:28.012,0,True
5.0,Spray Tip Defective but Product is Nice,Spray tip fell out not able to figure out how to notify seller - Otherwise the product is very nice.,[],B00LMIVLXY,B00LMIVLXY,AHBIGTZCJOWAGUEGZPJ4A7YGBDYQ,2017-04-24 19:43:58.000,0,True
5.0,Great Product,Absolutely Love This works great on my hair I don't have any frizz after using this definitely recommend this.,[],B00LMIVLXY,B00LMIVLXY,AHHN7KR5RCEZC7UGP6PWOT6C22PQ,2022-07-29 16:07:18.014,1,True
4.0,4 stars thanks to my beautician,"I'm not rating this on my own personal opinion, considering i never actually used it ( if that makes sense ) but my beautician uses it on my hair and she loves it. I have my bag with all my own hair products, so every time i get my hair done my beautician no longer uses her heat protector she always ask for mine, she says she loves it.",[],B00LMIVLXY,B00LMIVLXY,AGEZZ6DRVZS5YSKR7WMSAPK47UEQ,2016-01-27 16:52:11.000,0,True
1.0,It's a WAX!,"Not for caucasin hair!<br />Makes hair dirty stiff. Goes on very wet - so styling takes longer. You burn haor trying to dry this thiick wax. That watery-ness ruined my straight dried hair (that I was about to flat iron).  If using this to flat iron it takes longer = MORE DAMAGE - it's going to take much longer. (Keratin or oil type protectant is faster.)  This dries with heat and it turns to wax. I mean ""wax.""  That's what protects hair but... so heavy.",[],B00LMIVLXY,B00LMIVLXY,AFFCQNWCHXTY7BANIWXLP5C2BKPA,2021-04-29 08:56:38.590,0,True
5.0,good quality,Good product,[],B00LMIVLXY,B00LMIVLXY,AFDXDMICAWJNZ5T4IUUDW4IYNOLA,2020-08-09 18:10:30.431,0,True
5.0,Love this product,Work great on my curly hair and frizzy. I use it when I flat iron my hair.,[],B00LMIVLXY,B00LMIVLXY,AEMNVL3HQXWHT7HDLNNWBV5WNLKA,2020-01-03 23:54:39.037,0,True
3.0,I also like the oil from this brand,"I have curly hair, every morning I have to use the flat iron, it took a longtime to make the hair straight, however after I discovered this product, my hair has been healthier because it protects my hair from the height temperature of the flat iron. It also makes the hair straight in a couple of minutes, I also like the oil from this brand. The only thing I was not happy is the smell, not bad, floral, but not agreeing with my perfume. I wish there is a fragrance free version.",[],B00LMIVLXY,B00LMIVLXY,AHZ2YAPVYMGMV5E4AI4BOSF2JYRQ,2017-03-06 03:22:22.000,0,True
4.0,"Good stuff, awkward bottle.","I love this formula. Makes my hair feel very silly, but the bottle...maybe I am just uncoordinated but it seems like it's made for a beautician who would love the handiness of a trigger pump to spray on someone else's hair. It's pretty awkward trying to spray it on your own hair.",[],B00LMIVLXY,B00LMIVLXY,AFCLCMISYRVVM2QFK5LPYLATFQOQ,2016-03-07 06:32:45.000,0,True
5.0,Love this,Love this,[],B00LMIVLXY,B00LMIVLXY,AGZPZEMXI7O7FY73R6SISRF7TRTA,2019-06-27 15:23:52.231,0,True
4.0,Ty,It’s just ok I would t buy again,[],B00LMIVLXY,B00LMIVLXY,AHLAAYB3KK655TNB2RM6CBLUNPJA,2021-01-22 00:07:21.327,0,True
4.0,thermal protector,The product works well although my hair gets dirtier faster than it should.,[],B00LMIVLXY,B00LMIVLXY,AH6YAOAH3G55VO2GUICW7CM4XSOA,2015-06-14 18:22:02.000,1,True
5.0,Great product,This spray works!  It’s the best hair product I’ve ever used.  It makes my thick hair feel and look better ever if I air dry my hair.  I highly recommend it.,[],B00LMIVLXY,B00LMIVLXY,AFHS3ZVTJICLN3XRIEJC7Q7WEPFQ,2021-12-30 00:15:36.189,0,True
5.0,Five Stars,Really makes a difference with my hair.  Adds shine and softens hair.,[],B00LMIVLXY,B00LMIVLXY,AGBIJYQ63VWM6VB5EIWKPLXAKK6A,2016-11-06 21:03:15.000,0,True
5.0,Great Hair Protector,"I’ve tried many brands of heat protectors for my hair over the years. I’ve found a keeper with HSI Professional Argan Oil Thermal Protector. For me most importantly it’s a “color safe” protector. I color my hair, hence important :) The scent is a nice, subtle, not too strong scent of oil. I didn’t think I’d like it at first but after using it the first time once my hair was dry I loved the scent of the oil with my freshly washed hair. This makes my hair feel more moisturized than the others I was using. I straighten my hair out & the drying of my hair is of less time with this product. I let my hair remain damp for about 10 minutes, I spray & brush it through. I then let it sit in my hair for 5 minutes. I want to give the product time to soak into my hair so I get as much protection as possible from the HEAT I’m about to apply. My hair shows no frizz period. The 8 ounce bottle for the price is well worth what I received in return! My picture reflects the spray component. It’s truly the best sprayer I’ve found in a heat protector. It gives good solid sprays. I’ve encountered problems with other sprayers. It’s why I wanted to mention this sprayer tops off what an awesome product HSI makes. This is also Made in the U.S.A. This is definitely worth trying. I’m glad I did & I highly recommend it!","[{'small_image_url': 'https://m.media-amazon.com/images/I/B1yd84I9mjS._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/B1yd84I9mjS._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/B1yd84I9mjS._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B00LMIVLXY,B00LMIVLXY,AGPC7CWRQPMNQFXWLYJYQYF7DCQA,2021-08-14 01:24:30.577,6,True
4.0,Spray doesn't work; only leaks,"UPDATE: Got a different spray bottle and the product works like a charm.<br /><br />ORIGINAL POST: The first time I used it I unlocked it, pointed the nozzle at my hair, applied pressure to the handle, and got a hand full of leaky product. Confused, I pointed it at my hand and surely enough, the product leaked out of the nozzle, onto the handle and down my arm. I had to rub it on my hands and run it through my hair, which, I'm sure isn't how it is supposed to be applied, because now my hair and hands feel sticky and hard. I was really excited to try this product because of the reviews, but was very disappointed by my first impression. I guess it's time to look for a new spray bottle? Maybe then the product will do what it's supposed to.",[],B00LMIVLXY,B00LMIVLXY,AGETJPB33BN7DUDQCRS5YPWC4FAQ,2021-02-27 02:42:30.415,0,True
5.0,Five Stars,Love it,[],B00LMIVLXY,B00LMIVLXY,AERDVGPQGK3ZC622RBPHBWZOUFFQ,2017-08-08 17:44:10.334,0,True
2.0,Sticky,"Leaves hair feeling sticky after blow drying /ironing and broke out my entire face. Love the handle as it made it easier to spray than my Tressemme, so i dumped it out and I'm now using the bottle with the red Tressemme in it. Prefer Olaplex or even Chi to this.",[],B00LMIVLXY,B00LMIVLXY,AHDLMAMG7KD7M4DQL2CPTF7ZT7RQ,2021-12-20 23:23:21.941,0,True
3.0,OK,Kind of heavy for my hair,[],B00LMIVLXY,B00LMIVLXY,AE2SMJ56NPO6NGF2II6UYWFG4WSQ,2020-03-07 01:27:17.497,0,True
5.0,I love it!!,"My hair shines and feels silky, I love it!",[],B00LMIVLXY,B00LMIVLXY,AGQHRGQCP7W7KPGFYHK5LCNJFYRQ,2020-04-24 13:55:26.375,0,True
5.0,Highly recommend!,Good product. I used it before flat ironing my hair. It also smells really good!,[],B00LMIVLXY,B00LMIVLXY,AF5MNTMSB7ZIWJH2ZX7SIAYNCIKQ,2018-12-29 06:39:55.196,0,True
5.0,Great Spray,"I have been using Chi heat protectant spray and serum for years. I've never had an issue with the product but wanted to try this due to it's rating. Totally worth it, my hair smelled so good and felt so smooth & soft after my blow out! I highly recommend this spray.",[],B00LMIVLXY,B00LMIVLXY,AGQFRKVQXF2EBR7QBYCHR3A732UA,2023-01-02 14:45:14.729,1,True
5.0,Won’t straighten hair without it!,I’m obsessed with this HSI heat protector. I have shoulder length frizzy/curly hair and have tried so many products for straightening my hair. This is by far my favorite. It makes my hair so smooth and light. Even when I blow my hair out several times in a week!,[],B00LMIVLXY,B00LMIVLXY,AH7ZM2TWFO6MF2JVJOAFLSKVSKGA,2022-02-22 06:08:51.961,0,True
1.0,Horrible Smell,"Could not take the smell, very  obnoxious. Threw the bottle out. Truly terrible.",[],B00LMIVLXY,B00LMIVLXY,AHQ2PX26RTDYE56TBUYUWU2IEGSA,2020-02-04 06:45:50.309,0,True
5.0,So Amazing!,"I am so happy I watched a hair tutorial with this heat spray in it. I LOVE that it has argon oil in it, I use argon oil in my hair right after I shower and then I spray this in before I blow dry, straighten, and curl my hair. It doesn't leave your hair oily, in fact it leaves it so smooth and soft no matter how much heat you put your hair through! It is an amazing product and I will happily use this for the rest of my life as long as they continue to make it!",[],B00LMIVLXY,B00LMIVLXY,AFZKGAWFRKXU7JN3W6WIUE27T74Q,2017-03-14 14:48:00.000,24,True
1.0,One Star,Heavy smell.  Unpleasant...,[],B00LMIVLXY,B00LMIVLXY,AH5OZSQYQTFSV44VXPBJPQWZRODA,2015-05-22 22:53:03.000,3,True
5.0,It smells so good and feel good on my hair,This has been very helpful for me to protect my hair from styling. I have been able to prevent split ends and damage while using this product. It smells so good and feel good on my hair. After I use the curling iron and or straightener my hair is left with a nice shine and healthy looking hair. It works well and is really easy to use. The spray bottle gives a generous amount and it works well all the time. This is a nice product I am so glad I found it and plan to use it often.<br />I purchased this product for a reduced price to make an hinest and unabised review,"[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/719h3Q13CIL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/719h3Q13CIL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/719h3Q13CIL.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71MDr7vTcRL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71MDr7vTcRL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71MDr7vTcRL.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71qLbvwYtDL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71qLbvwYtDL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71qLbvwYtDL.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81F-J82jfuL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81F-J82jfuL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81F-J82jfuL.jpg', 'attachment_type': 'IMAGE'}]",B00LMIVLXY,B00LMIVLXY,AEVVEYZF4MQDPC2BY2HBBNGZRYHA,2015-12-01 19:14:42.000,3,False
5.0,Works well,"I really like this thermal protection  spray. It sprays easily, smells really good and helps protect hair from damage. (I blow dry and flat iron)",[],B00LMIVLXY,B00LMIVLXY,AFW463HLOSLYSPVSUNVFHKDOS22Q,2015-08-06 13:50:13.000,0,True
5.0,"Soft, silky, shiny!",I have very thick but very fine hair that tends to be weighed down by most products. I decided to give this Argan Oil a go and am glad I did! It leave my hair super soft and silky while protecting it from the heat of my flat iron. I use it 2-3 times per week and love it!,[],B00LMIVLXY,B00LMIVLXY,AHVEWCQ66KHJXSYG5XGHUX6N3PYA,2015-06-02 16:05:45.000,0,False
