rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
5.0,Love this,My kids have so much fun with this game. Its a great way to bring the family together.,[],B01N1081RO,B08JHZHWZ3,AE6YLEEPJ47WLVVHEJ4CSBONBVBA,2021-01-13 16:07:30.580,1,True
5.0,The fun games that you remember.. now on the Nintendo Switch..,These are 3 of the classic 3-D Mario games.. titles that I recall spending hours with when growing up!!!! They seem like faithful editions of the original games!!!!!! Great fun!!!!! and a pretty good deal at the price!!!!! Thank you Nintendo for so many fond memories!!!! Your games were my childhood!!!!!!,[],B08G3MN6KP,B08JHZHWZ3,AHTBBASAHXHHOXKLSSZG2IPUDDFA,2020-11-15 00:23:29.502,0,True
5.0,So much fun!!,"I remember being in 5th grade when Mario 64 came out, it was as amazing! I grabbed this for my 3 kids to try, they are loving it. They beat Odyssey pretty quickly, they are actually struggling with 64! I never played Sunshine or Galaxy, but they are pretty good too. Really happy with my purchase! I think this is great for the kids who grew up playing the different Nintendo systems, and for kids who are just getting into Mario. You can’t go wrong with this!!",[],B08G3MN6KP,B08JHZHWZ3,AE5YCFORXJBSGKBKXSUL53BGJW2A,2020-09-19 16:03:14.891,0,False
5.0,Wish this had more...,"I remember the joy of playing the SNES All-Stars + Super Mario World game as a kid.  Getting everything I always wanted out of a Mario Bros. game.  I had kind of hoped for more out of 3D All-Stars.  I know this is just the three main 3D games...And they are a blast....but the novelty has worn off after only a week because there's not as much replay value in these as in the old 2D adventures.<br /><br />It's still a fantastic set, and we will definitely go back to it in the not so distant future, but we've already burned out on it....Didn't expect that so soon.  Haha",[],B08G3MN6KP,B08JHZHWZ3,AFKVE5HRFK3X27DPXME72PUR5NXQ,2021-01-03 15:18:48.892,0,True
5.0,:),Showed up!~,[],B08G3MN6KP,B08JHZHWZ3,AGGHL5LY436NHTFP2UK52N7HHZDA,2020-11-04 15:51:44.416,0,True
5.0,It is the physical copy and it is a good price.,It's the real deal!!,[],B08G3MN6KP,B08JHZHWZ3,AGNXQ6O3UYR4DCO27DTY7XEAL4UQ,2020-09-21 17:01:37.546,0,True
5.0,Treasured Classics in a Treasured Collection,"This is basically a must-have for Switch owners... only, it will be impossible to find unless Nintendo decides to increase stock.  Regardless of how much or how little additional features were added to the collection, the ability to sit down with your Switch and play these classics in HD is unbelievably satisfying and well-worth the price.",[],B08G3MN6KP,B08JHZHWZ3,AEDHNF6RGT753V7LNZRHCMJCHFBA,2020-09-18 14:22:41.858,18,False
5.0,Giftable,Given as gift my granddaughter loves it,[],B01N1081RO,B08JHZHWZ3,AFCXAFHH57IND5EZAADQVJHGI5ZA,2020-05-17 15:54:48.246,0,True
5.0,Fun while on quarantine,Came on time but delivered to my neighbor.  She was kind enough to deliver to me. My granddaughter is having a great time playing it.,[],B01N1081RO,B08JHZHWZ3,AFGI4JGYFJDN4KZCFQO33SNUXKZA,2020-06-19 09:14:05.943,1,True
4.0,Good collection.,Was disappointed to find out that Nintendo used emulation for this port.  But it is the classic games and they all still hold up.,[],B08G3MN6KP,B08JHZHWZ3,AHZGMQN5OMOHJAJ6F2YPOS66RSDQ,2022-01-20 21:20:51.396,0,True
5.0,Super!,I bought this for my granddaughter and she loves it!,[],B08G3MN6KP,B08JHZHWZ3,AGSSCEYNLIS735HXNMMYMA6SUCEQ,2021-01-25 15:18:17.492,0,True
3.0,Sort of pointless for me,I own all three games. Having them portable is nice but that's really the only major advantage here. I guess the version of Mario 64 is technically the best one or something like that but I don't really care.,[],B08G3MN6KP,B08JHZHWZ3,AETPWUNCW3KZDTKNUQGS5YYKNUEA,2021-11-16 16:05:56.373,0,True
5.0,bought as gift,Arrived on time and in perfect condition,[],B08G3MN6KP,B08JHZHWZ3,AF55EUAP2HNLCFA6DR7UC3MKLJZQ,2022-07-09 15:00:44.795,0,True
5.0,Decent,"This game is a little deceiving, it says it’s 2 players but it’s not really a good 2 player. Like you get to float around them. But not actually play.<br />Really fun 1 player though!",[],B08G3MN6KP,B08JHZHWZ3,AGUUE664K2SBPDHFASL5EOVZO6BQ,2021-01-25 04:45:20.094,0,True
5.0,Great product,Great product,[],B08G3MN6KP,B08JHZHWZ3,AFJ3K7KS66JK3F6XNOGZGNVYLTHQ,2021-08-04 22:00:23.135,0,True
5.0,Mario cart 8,This item is a Christmas present. Everyone that has played the game is quite pleased. Hopefully my grandson will look or it!,[],B01N1081RO,B08JHZHWZ3,AEHAVAPGTESKZ2R4JHNZIJTM3SPQ,2019-12-13 03:07:27.553,0,True
5.0,Love it,"The kids love to play on it, great game.",[],B01N1081RO,B08JHZHWZ3,AHEBR6PXFVZP2MMLEKKILOYF5VNA,2021-06-24 23:32:44.378,1,True
5.0,Great gift,This is only item our grandson asked for Christmas so we obliged,[],B08G3MN6KP,B08JHZHWZ3,AEQ4BRZQAEE7UKKOPVTM2EQVGV3A,2020-12-03 20:50:38.083,0,True
5.0,Great gift,This is only item our grandson asked for Christmas so we obliged,[],B08G3MN6KP,B08JHZHWZ3,AEQ4BRZQAEE7UKKOPVTM2EQVGV3A,2020-12-03 20:50:38.083,0,True
4.0,Newbie Review,"I have never played any of the 3D Mario Games and I have been gaming since the Atari 2600. I've played the original, Super Mario World, Super Mario 3 , Lost Levels etc sparingly. I can tell you the camera on Mario 64 is pretty bad. I'm getting used to it, but it's definitely showing its age. I haven't gotten into the other titles as of this review, but I hope they improve. Three games for $59.99 isn't terrible, but these aren't even ground up HD remasters; they're emulations. Don't get me wrong, they look great, and there is an improvement, but for Mario's 35th Nintendo could have done a little better. I think it is worth picking up if anything for the collectors aspect of a limited physical release.",[],B08G3MN6KP,B08JHZHWZ3,AG325AWBIEYZZGIAV22D3FHYNBFA,2020-09-20 20:28:46.571,0,True
5.0,To enjoy any games,My kids loved it ❤️❤️❤️,[],B01N1081RO,B08JHZHWZ3,AGC2QWRLXZD5EJZU3K6OMZPAFNCQ,2020-06-04 16:41:18.507,0,True
5.0,Happy I got this,"my son and I love this collection, mario 64 has me feeling super nostalgic.",[],B08G3MN6KP,B08JHZHWZ3,AFULYVCRDTFWZVB3EKZJP6OOYIOQ,2020-10-31 21:05:12.662,0,True
5.0,fun,my daughter and I love playing this game,[],B01N1081RO,B08JHZHWZ3,AEEK2RXZ4WKDGYK42SIPTPAOYHHA,2021-01-11 14:40:07.652,0,True
5.0,Good games,3 fun games for $60. Not a bad deal if you ask me. The games boot up fast and play well. I'm satisfied,[],B08G3MN6KP,B08JHZHWZ3,AEML6DKTNAJMSRFGYAEZDMF3I42Q,2020-10-14 01:14:56.468,0,True
2.0,Barebones emulation,"The product is a huge disappointment, in particular Mario sunshine which is borderline unplayable since Nintendo has ruined the controls in particular the camera controls. To make the problem even worse Gamecube controllers are not supported.",[],B08G3MN6KP,B08JHZHWZ3,AEZULFQC7SYXCFPVHAZ5FMC7UNAQ,2020-10-03 21:42:52.992,1,False
5.0,Awesome collection,Awesome game worth the cash.dont buy from scalpers there are plenty copies around for the normal price.dont listen to bad reviews they are just trolls,[],B08G3MN6KP,B08JHZHWZ3,AHST4AVJDWK5NHD6JQTLHZGMDMGQ,2020-09-20 11:56:46.489,0,True
5.0,Mario classics,"Three games in one. It does come with the games soundtrack but other than that, it's the bare minimum.",[],B08G3MN6KP,B08JHZHWZ3,AFZ6W2ZSRVYRK47I72E6BYPSOJIQ,2021-05-10 17:28:45.891,0,True
5.0,really good deal must buy,Its the games you want to play plus the soundtracks glorious resolution better than the enhanced ones I Don't know what people are crying about i want the games all those extras you end up seeing it once then forgetting about it  3 AAA GAMES 1 PACKAGE awesome,[],B08G3MN6KP,B08JHZHWZ3,AF6XKBJNSRUMMAV7VVFJDE52WDUQ,2020-09-19 20:28:57.284,0,True
4.0,"Good, but not great ports",Good ports of three classic Mario games.,[],B08G3MN6KP,B08JHZHWZ3,AG2CYYZB2MCP3XNA2E5XQCUMW4MQ,2020-10-29 12:00:20.772,0,True
5.0,THIS GAME IS AMAZING. BETTER GRAB BEFORE 3/31!!!!!,"If your a Mario fan, buy this game. It’s a no brainer. Dont let youtubers or anyone else tell you it’s crap, cuz it’s not. All 3 games are awesome and very fun to play. Especially Mario sunshine, which is the main reason I got this game. This is a limited release, idk why but, after 3/31 they won’t be selling anymore. Most likely due to the new switch coming out in April and all the new games coming with it.",[],B08G3MN6KP,B08JHZHWZ3,AE7QMUPDWBCBBG5AXV3EL2O72CGQ,2021-01-11 08:38:42.082,0,True
5.0,A popular game for the youngest grandson,This game was an instant hit with the Grandson and top of his list.,[],B01N1081RO,B08JHZHWZ3,AEEKNEQYU2L5EA7ODJCDSCC6WIZQ,2022-12-27 01:31:43.084,0,True
5.0,Nintendo nostalgia at its finest,If you want to relive those wonderful childhood memories then don't hesitate to get this game. Ignore all those negative statements about this game. The game's purpose in bringing back those childhood memories was successful in my opinion.,[],B08G3MN6KP,B08JHZHWZ3,AGFXVLC756NXKCMUO34JPLX6F3MA,2020-10-18 01:37:32.706,0,True
5.0,Ohhhhhhhhhh Mario,I love Mario.....that is all.,[],B08G3MN6KP,B08JHZHWZ3,AHTM5M2FXYVD633K3NN63WVCNMGA,2021-12-18 22:18:13.297,0,True
4.0,Great pack!,Three of Mario's best 3D games in one package. What more could you ask for?,[],B08G3MN6KP,B08JHZHWZ3,AGDITYN3CDFYILPNHBHDWZRGXSXA,2021-02-10 04:20:20.566,0,True
5.0,Galaxy on the hand-held as it was meant to be!!!,"Any Mario fan with a Switch is in for a treat playing Galaxy handheld!<br />Buy it, try it, then uptick this review!<br />Will be a mind-blowing experience, especially if only played it on the console/TV before.<br />Gotta go! Switch battery has recharged!<br />""Let pickle!""",[],B08G3MN6KP,B08JHZHWZ3,AETRLZMHXJWHRPFLNPAT5KWVN2UQ,2022-05-25 16:40:43.818,0,True
