rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
5.0,Enjoy it,Love it,[],B07D13QGXM,B07D13QGXM,AF5ZFM42RCRC7VVLKMSPMFYKGDVA,2019-01-09 21:51:55.788,0,True
5.0,Excellent game,Love the game.,[],B07D13QGXM,B07D13QGXM,AG7JGCVICQFEQXY2IRXIV3DUZH6A,2020-02-18 02:58:52.401,0,True
1.0,"Tried on two separate games and received ""Corrupted File"" on both of them","It is sad because I really wanted to play with my grandson who lives across the state from me. I Tried on two separate games and received ""Corrupted File"" on both of them. they have been returned to Amazon.  Very Very Disappointed!!",[],B07D13QGXM,B07D13QGXM,AGGTIOAQBT2XEBVS3H2WNVAWV3NQ,2020-10-20 03:57:35.023,0,True
5.0,Engrossing and a fun multi-player game,"Gave the game to the kids for Christmas along with a few other games. This is the game that seems to get the most play time as it allows the multiple kids to play (kids of different ages - 6, 8, 15, 18). It is recommended.",[],B07D13QGXM,B07D13QGXM,AHG2P2FPFU3KASGPG2WOY4QV3TOA,2019-01-02 18:59:07.221,2,True
5.0,Best game!!,Gift for my grandson and he loves this game!!,[],B07D13QGXM,B07D13QGXM,AG2EIWPN4N6SIK5MXEK5J2EV5LUA,2019-12-31 14:05:53.234,0,True
5.0,Great,Great,[],B07D13QGXM,B07D13QGXM,AFZ4QGRJLCC57CD3O3JRNQ7BPSBQ,2019-08-21 15:35:01.401,0,True
5.0,Good Purchase,Works Great.,[],B07D13QGXM,B07D13QGXM,AHCCYRWR3HAN6TTW5ZOTJCQBWEPA,2019-12-31 02:51:45.884,0,True
3.0,It's Miney and Crafty,"I don't get it. The game is decent. There's fun to be had. However, it's not a huge time sink for me. Of the console versions I've used, this is probably my favorite due to the Mario content and portability.",[],B07D13QGXM,B07D13QGXM,AETPWUNCW3KZDTKNUQGS5YYKNUEA,2021-11-15 17:42:53.529,1,False
5.0,Perfect,Perfect as described as new!,[],B07D13QGXM,B07D13QGXM,AGDQOBT4KHBDOH7GA6JDJ2C5NN4A,2019-10-20 17:40:56.787,0,True
5.0,Gift,She liked it,[],B07D13QGXM,B07D13QGXM,AFVW2D4DOYAIEGP6UDY2GKCQFAWA,2022-03-26 13:44:15.993,0,True
5.0,Functional,Functions as described,[],B07D13QGXM,B07D13QGXM,AGQMECGS7CDQTL25I4GU3F3ZQE4A,2020-01-27 16:24:39.430,0,True
5.0,Its minecraft,Perfect!,[],B07D13QGXM,B07D13QGXM,AGS2HTA5NR25GYQ3NAPPR6SPQJPA,2020-01-03 02:55:10.206,0,True
5.0,A Christmas gift for a boy.,I’m not a gamer but the child who received this seemed very happy.  That’s all I know.,[],B07D13QGXM,B07D13QGXM,AG5RZPM3DGPSCQ3GA5BVKQRNTAXQ,2020-01-12 22:44:25.401,0,True
5.0,Great game,My husband got this when we got a Nintendo Switch for christmas.  None of us had any idea what it was.  We stumbled our way through trying to figure it out. Then we discovered on youtube 'POG Productionz' and that revolutionized our excitement toward this game.  My six year old son watches 'POG' daily - he makes the most amazing things in Minecraft and it is so inspirational.  Still a fav game in our house six months later and will continue I imagine. We generally just play on peaceful and creative.  I recommend you check out POG if you are new to this too - He does whole series and makes incredible cities - it really teaches you a lot what you can do on Minecraft.  Definitely recommend this game. Its addictive and barely any other games get a look in on our Switch!,[],B07D13QGXM,B07D13QGXM,AEDM7ET4Q42NGXITRAMDQ4GX6ZPA,2019-06-26 17:48:30.391,6,True
4.0,Fun game,Minecraft crazy here! Perfect for our new gaming system.,[],B07D13QGXM,B07D13QGXM,AH3JZIFOJKTG6Q6XUCTF4BVJOQMA,2018-12-21 19:22:34.324,0,True
5.0,Great,This was a gift for my nephew and he love it. Thanks,[],B07D13QGXM,B07D13QGXM,AG4KC3DVFKW3IL3BQ6GNDZNKSKIA,2019-06-15 14:47:38.561,0,True
5.0,Happy camper,Nephew's favorite game,[],B07D13QGXM,B07D13QGXM,AFGDFIBAMD22XTS4AWPMOVCNOA4Q,2019-01-04 14:31:13.679,0,True
5.0,Gift,Holiday gift,[],B07D13QGXM,B07D13QGXM,AEBW4OGNBFKRKQ2VTOBFEEMXGWRQ,2021-11-14 15:47:42.556,0,True
5.0,Addicted,Was a must for my daughter and now I'm addicted,[],B07D13QGXM,B07D13QGXM,AEE33JPKXADYBA5EDAI255PXMDYQ,2020-01-17 03:33:30.672,0,True
3.0,Confusing game no point,No instructions in this game that are useful. You just have to try and figure it out.,[],B07D13QGXM,B07D13QGXM,AFHH7N7MLUS3OPW2HMRBIQLJOLZA,2020-03-10 21:20:55.684,0,True
4.0,SATISFIED,SATISFIED,[],B07D13QGXM,B07D13QGXM,AGFDKG5GMBVUZFOVO7VZ5SFSUTOQ,2021-01-19 12:53:41.433,0,True
5.0,Great gift,My daughter loves it,[],B07D13QGXM,B07D13QGXM,AG5CJTPATEL2ED3HXHWX2FFUTF2Q,2020-03-24 13:01:21.344,0,True
4.0,Bought for nephew.,Bought this game for my nephew's birthday. He really likes it a lot.,[],B07D13QGXM,B07D13QGXM,AH3I4I3QBHOG2Z3CODYPOXUJH6KQ,2021-04-14 04:58:53.930,0,True
5.0,Awesome,Best game ever according to my child.,[],B07D13QGXM,B07D13QGXM,AEUO3PLVBMWB44O52DQTQPR7YKVA,2019-12-25 21:54:53.406,0,True
5.0,Good Game,Lots of fun and runs smoothly.,[],B07D13QGXM,B07D13QGXM,AFD3KYR5P3352L4ZCSWQXCJSLC5Q,2020-01-03 19:57:57.553,0,True
