rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
5.0,Amazing Product,Love this so much...amazing conditioning treatment and lasts awhile...I have shower length hair and get about five treatments out of one bottle,[],B00SNM5US4,B00SNM5US4,AGF42GID7QWDCNFTJRCTMKAITJJA,2020-11-25 10:57:29.739,0,True
5.0,The best,This is the perfect solution to getting your hair healthy and feeling great,[],B00SNM5US4,B00SNM5US4,AF2FTNKCY6XY67BKBUO4BNJRZ4XQ,2019-06-03 15:35:25.838,0,True
4.0,Better for long term damage. Use #6 for instant befits.,"With #3, you get smoothed hair and long-term repair. The downside is, you have to use a generous amount of product to see immediate results. I don't use #1 or #2 but I'm guessing this works better when combined with those. The scent is great. I didn't find it as moisturizing so the 3rd time I used it I ""washed"" my hair with just conditioner afterwards and preferred those results. I did purchase #6 as well, which I gave 5 stars for instant, smoothing results and I only need a dime size of #6 on my long hair. My hair is colored but not damaged - I definitely recommend #3 for long-term help with damage and #6 for smooth results that make hair look better instantly and over time.",[],B00SNM5US4,B00SNM5US4,AFVTVAR5V6XKWMVHARHZXRCOSHIQ,2019-07-05 09:32:22.512,0,True
3.0,Oily,Very Oily results,[],B00SNM5US4,B00SNM5US4,AFFCQNWCHXTY7BANIWXLP5C2BKPA,2018-06-13 10:15:12.028,1,True
5.0,Awesome,Works,[],B00SNM5US4,B00SNM5US4,AF57ANFOM7CC3AXSFNHH4HGXCTFQ,2019-11-24 17:03:11.370,0,True
1.0,Will break hair off,"Olaplex will first have your hair beautiful and silky …then your hair will turn dry, brittle and break off. My bra length hair is ruined and I’m afraid that I will have to cut most of it off.",[],B00SNM5US4,B00SNM5US4,AGKGARTYI2XAHHELHD7BTDAPX3NA,2023-03-01 12:42:47.985,0,False
5.0,Love this product so far...,I love this product .I have noticed a difference using this on my fine curly frizzy highlighted hair.I recommend.,[],B00SNM5US4,B00SNM5US4,AEU4WLSXRAJ55XDIYUF5DHAMP7CA,2020-01-02 21:45:50.380,0,True
4.0,Expensive but gets the job done,"Olaplex absolutely worked for me. In two sessions, it restored my over-colored/over-heated hair to a more attractive texture and has strengthened it noticeably. My pictures show my hair brushed after drying naturally before Olaplex, then after a home-coloring and two treatments of Olaplex. I love that you can leave the treatment on your hair and let it work overnight and it doesn't leave your head greasy. The downside as many have stated is the price and amount you get (one bottle only contains enough for me to use it three times, and my hair could use more repair than that). I wish this product was more affordable so people on different budgets could treat themselves. Will I buy it again? Maybe once in a blue moon when my hair is especially dried out and when I can spend a little extra.","[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81FaFKHbjlL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81FaFKHbjlL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81FaFKHbjlL.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81SA4CvtjqL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81SA4CvtjqL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81SA4CvtjqL.jpg', 'attachment_type': 'IMAGE'}]",B00SNM5US4,B00SNM5US4,AHFRACPXL66EOUHNAJTWLDGTODGA,2020-01-14 22:23:20.289,5,True
5.0,Excellent moisturizing repair product,Extra moisturizing. Works great at repairing dried out hair.  The scent is very nice.  HIGHLY RECOMMEND!,[],B00SNM5US4,B00SNM5US4,AGXVCPJDHRBI5PF7BU3DID26C7AA,2020-10-03 15:22:46.552,0,True
5.0,Best hair product brand on the market! Worth the money,"Love the product and line! Keeps hair healthy, strong and glowing! Also helps hair look and become fuller. Less frizz as well. Hair stays looking good and silky smooth with a refreshing smell all day! Worth the money! And you don’t need to use a lot! A little goes a long ways",[],B00SNM5US4,B00SNM5US4,AFOQPZHJCYEMTMSGZZSGROJ6V75A,2019-07-07 14:18:44.465,0,True
