rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
5.0,Wow,"I’ve never used cuticle oil before so I don’t have anything to compare it to, but I can Definitely tell the difference in using and not using it. Hours later and several hand washes after applying and my cuticles still look nourished and moisturized on my chocolate skin. Iam Very Impressed!!! It was very easy to apply and the bottle should last a Good While. At least a year!! Yes!! Buy it!!!",[],B00F644L32,B09GWLJPTH,AEYORY2AVPMCPDV57CE337YU5LXA,2020-06-07 23:20:39.290,0,True
5.0,Helps those pesky hang nails,I’ve got this oil in dropper bottles scattered around the house and just apply it willie nilly all day and night. Keeps the cuticles soft.,[],B00F644LTQ,B09GWLJPTH,AEYS7TG2WOZAB7NLRVGTM5XZIG3Q,2019-10-19 02:49:44.538,0,True
4.0,I so see improvement,"I have seen a difference in my cuticles, the look much better.<br />Probably if I used it more frequently, it would help!<br />I would recommend this product.",[],B00F644LTQ,B09GWLJPTH,AGBALMWEDCZRIX2QENGWDZET3EFQ,2022-06-21 13:49:36.220,0,True
5.0,Great price for a big bottle.,I was surprised when I got this bottle didn't expect it to be as big as it is. It smells nice and is helping my cuticles and nails stay hydrated and healthy. I would recommend this product 😁,[],B00F644LTQ,B09GWLJPTH,AE7ZR5DNB5MPPJ3KNECRHSDEDPUQ,2020-03-26 16:13:00.395,0,True
4.0,Softens,Smells great and does soften the cuticles but my bottle came with a small crack in it so some leaked out 😒,[],B00F644LTQ,B09GWLJPTH,AFV22L7AEKI2LW6HMLRLUKNYVBGQ,2020-09-11 13:35:18.780,0,True
3.0,Just okay.,I really didn’t notice any difference between this and any other oil I’ve ever used.,[],B00F644LTQ,B09GWLJPTH,AFKVXKP2OJATKYZULVYCR4LNFFAQ,2019-05-20 08:32:05.573,0,True
3.0,Strong scent,I get tired of scent fast. After a few minutes I wish it was gone....(Milk Honey),[],B00F644LTQ,B09GWLJPTH,AFFCQNWCHXTY7BANIWXLP5C2BKPA,2020-05-05 10:23:56.675,0,True
2.0,A disappointment,Disappointed in the applicator and the effectiveness of the oil.,[],B00F644LTQ,B09GWLJPTH,AFZZ3MNKGMR3WNJURKHH5HPCLE2A,2020-08-21 08:39:39.910,0,True
5.0,Good product,You cannot go wrong with this product! Clean scent.,[],B00F644LTQ,B09GWLJPTH,AGOCVSII6H2OYL2Q4Y5Z2APUHREQ,2020-06-18 19:41:44.496,0,True
5.0,Super moisturizing!,"This product made a huge difference on my dry, brittle nails within one week. Awesome nail oil!",[],B00F644LTQ,B09GWLJPTH,AFZ3IBP22W75UQO2G66HVGXGGOPA,2020-07-17 17:52:04.334,0,True
5.0,Moisturizing cuticle oil,Sweet honey scented cuticle oil that’s fabulous,[],B00F644LTQ,B09GWLJPTH,AGEMLM3DG3H7NEKBRBDUYV3M6MYQ,2021-05-03 10:20:01.707,0,True
5.0,Very moisturizing.,"Very good cuticle oil, just barely any scent, which is pleasant.",[],B00F644LTQ,B09GWLJPTH,AFNZQM5R2XWMIPDGD6B7QS3AQQWA,2020-12-06 23:28:00.429,0,True
5.0,Smells and feels nice.,Smells wonderful. Works well. Probably could be a better oil.,[],B00F644LTQ,B09GWLJPTH,AH5ULU6LVF2LKKS273OWQEI7QXUA,2020-02-09 05:00:46.138,0,True
5.0,Smells so pretty,I picked this up to put into a fillable oil pen- not sure how I would like it.  It smells so pretty!  Soft and sweet and nothing too strong.  The scent lingers on the fingers but is so gentle that you won’t notice it unless your fingers are in your face.  I think this oil will end up in multiple pens to keep with me in the car and at work😁,[],B00F644L32,B09GWLJPTH,AGAT223JYYC4N44BDQOUUSY67Z5A,2019-10-19 04:33:55.158,0,True
1.0,No brush !!!!  Hate the dropper !,Dropper !!! No brush which has always been in the cuticle oil I've<br />Used...DROPPERs waste too much oil!,[],B016CZ5REK,B09GWLJPTH,AHUDIEVES6WSCVNWXAHMECYHDOFA,2021-01-24 20:21:30.397,0,True
5.0,Great for cuticles,Great product- even helped my dry nails.  Highly recommend.,[],B00F644LTQ,B09GWLJPTH,AGQXYVHTWNWEEIE52BZGWUBBJVNQ,2021-02-12 00:48:58.626,0,True
2.0,Huge bottle,"First off, the bottle is huge! It will last YEARS with daily use! I didn't find it helped my cuticles much. They still are dry and ugly. I can barely smell the scent, I'm not sure how people are complaining about it being strong",[],B00F644LTQ,B09GWLJPTH,AGHR74Y4EXMBWWER4AEDZ4OWQEKA,2019-10-26 08:05:54.201,0,True
5.0,Perfect!,A lot of product for the price and it’s awesome!,[],B08HSQ5RBM,B09GWLJPTH,AEM3JNGXGX6U7RAZUPGTGGN2CUWA,2022-10-05 07:55:09.183,1,True
5.0,"Glad I found this, hopeful it works.",So glad I found this.  But haven’t use long enough to tell if is going to make much of a difference in my cuticles.,[],B00F644LTQ,B09GWLJPTH,AHPU76M3TR6LZIYNEYGHBWUTW22A,2020-02-11 18:22:45.875,0,True
5.0,Keeping up with the cuticles,This is really good cuticle oil. It's great moisturizing. It's also a great value. I've actually already ordered a second bottle.,[],B004MNMBIU,B09GWLJPTH,AEXTTGYVTHWZRHST2SA6RTUBPFLA,2021-03-30 22:45:14.416,0,True
5.0,Love it,I love the smell and it feels good on my skin. Absorbs on me great.,[],B0045PKGE6,B09GWLJPTH,AGOJ47F5Z73ID3KOIKTHZARE33UA,2021-09-28 19:40:28.677,0,True
5.0,Really like this oil!,It works great and the smell is good too!,[],B00F644LTQ,B09GWLJPTH,AEYF7DAMJJUD6WEHKN3WVZU4UGVQ,2018-07-13 17:37:14.113,0,True
5.0,Softens my cuticles...,"This smells so good, softens my cuticles and makes my manicure look wonderful!",[],B00F644LTQ,B09GWLJPTH,AEO77PF7QZ6WQOZVVUZMLVGVIW6Q,2020-09-04 02:01:37.713,0,True
5.0,Me fascina,Me fascina,[],B00F644L32,B09GWLJPTH,AEE7XOXQPX4RIVX3GERSIAML3CRA,2020-05-16 16:39:51.882,0,True
5.0,Amazing!,Made my nails strong and grow fast with regular application.,"[{'small_image_url': 'https://m.media-amazon.com/images/I/71U+iZROViL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71U+iZROViL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71U+iZROViL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B00F644L32,B09GWLJPTH,AEDQJOXMUDJ3EEXWR2QYU3UN73WQ,2022-09-01 18:50:02.301,7,True
5.0,You should buy it,I like this product. I will buy more in the future.,[],B00F644L32,B09GWLJPTH,AGGV4VVEOMM63AN2J6Z3NZLHD37A,2021-02-24 12:15:36.346,0,True
4.0,Good oil but not too crazy about the scent.,"I got the milk & honey hoping it had very little scent but although it's not strong, it still bothers me. Other than that, it's a great oil that'll last some time.",[],B00F644LTQ,B09GWLJPTH,AGXLYPHAUBZ52AN4ZLXZJOSJT4DA,2021-05-19 15:57:40.773,0,True
5.0,Great oil,Amazing and smells so good,[],B00F644LTQ,B09GWLJPTH,AGO7LVGN6N2VQXFI3RVPGW7X7MKA,2021-02-27 23:51:18.914,0,True
5.0,great product,great value for the price,[],B08X18NW8J,B09GWLJPTH,AENOAZ5S2XFCU47MCFKTGIMGAC5A,2022-03-31 14:09:22.359,0,True
2.0,Better Product out There,"This cuticle oil didn’t do much for me. It comes in a big bottle and will last for probably at least 6-9 months if used as directed. It’s an oil, so is thin and runny, which I didn’t like, because it was messy, because the dropper it comes with is a bad design. It has a strong sweet scent, but is tolerable.<br />I found Hard as Hoof nail hardener cream better for moisturizing my dry, peeling cuticles and great for strengthening my nails that are thin, soft and also peel. My nails and cuticles look better than they ever have!<br />Since I have so much of it, I’m going to try using this at night under the Burt’s Bees Lemon Butter Cuticle Cream that I just bought.",[],B00F644L32,B09GWLJPTH,AHDRH7G2OVLHGPDTB4TIJ6PI5EMQ,2020-07-18 21:53:21.541,0,True
4.0,The same as the leading cuticle oil...,"I bought this because it has comparable ingredients to the highly ranked competitor.  I have not yet opened this. I still am using my old product, but it is a great move to use cuticle oil, period.  That is, if you do your own manis at home, and do not indulge in the artificial and unknown chemicals used in shops.",[],B00F644LTQ,B09GWLJPTH,AHVUUTCXO5XZV6TXSN5GLQWJD4JQ,2021-11-12 21:23:42.416,0,True
5.0,Helped my nails,This oil really help nourish my nails and brought them back to life.,[],B00F644LTQ,B09GWLJPTH,AE2SMJ56NPO6NGF2II6UYWFG4WSQ,2021-07-03 00:12:50.937,0,True
2.0,Oil,No better or worse than others.,[],B00F644LTQ,B09GWLJPTH,AGERPHFURMUOH44B57CH45HGZJNQ,2018-11-20 02:50:41.810,0,True
