rating,title_x,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,text_cleaned,title_cleaned,text_cleaned1,title_cleaned1,sentiment,main_category,title_y,average_rating,rating_number,features,price,helpful_ratio,noun_count,adj_count,adv_count,word_count,sentence_count,avg_words_per_sentence,title_length,F-K_score,review_extremity,elapsed_time_days,image,year,month,day,hour
2.0,Smells odd,It’s okay not the greatest and doesn’t have any “magical” effect like others have said. Smells like old lady perfume no matter who it’s on male or female.,[],B00EJDG7XI,B0BLGN9N39,AFSCQMP2EPYLGJN7OBTMEXCBE2OQ,2020-12-26 18:49:48.813,0,True,"it ’ okay not the great and do not have any "" magical "" effect like other have say . smell like old lady perfume no matter who it ’ on male or female .",smell odd,okay great magical effect like say smell like old lady perfume matter male female,smell odd,2,All Beauty,Pure Instinct Roll-On - The Original Pheromone Infused Essential Oil Perfume Cologne - Unisex For Men and Women - TSA Ready,3.9,72669,"['More than 20 years ago, Pure Instinct changed the ways we feel about ourselves and reconnect with others.\xa0 Again in 2021, Pure Instinct #pureinstinct took over TikTok as the most trusted and searched pheromone perfume and cologne as it was used and loved by hundreds of thousands of individuals. Experience Pure Instinct today!', 'The “ORIGINAL” formula with the most potent pheromone formulation (imported from Italy).', 'Blend with your skin PH to create a one-of-a-kind scent. Rich & silky texture for the perfect massages.\xa0 Use it in your next bath. Compatible with diffuser.', 'Alluring and timeless fragrance that you can wear it alone or layer it with your favorite perfume/cologne.', 'Body Safe - Made in USA and NOT Tested on Animals. FREE of Paraben, Gluten, Glycerin, Alcohol. 0.34oz / 10.2mL. TSA Travel Ready.']",16.95,0.0,5,6,2,28,2,19.0,1,,-1.9,975,0,2020,12,26,18
3.0,Didn’t see the value,"I loved the scent going on but in about 3-5 minutes I could no longer smell it. I asked others if they could smell it on me and they couldn’t smell the scent. I know things smell differently on others but this is supposed to bring out the best smell on you? Not very pleased, wouldn’t buy or recommend",[],B00EJDG7XI,B0BLGN9N39,AGZMNRT6ZFT7DFQDDTL2NWJGECZQ,2022-03-14 23:32:37.552,0,True,"i love the scent go on but in about 3 - 5 minute i could no long smell it . i ask other if they could smell it on i and they could not smell the scent . i know thing smell differently on other but this be suppose to bring out the good smell on you ? not very pleased , would not buy or recommend",do not see the value,love scent go minute long smell ask smell smell scent know thing smell differently suppose bring good smell pleased buy recommend,value,4,All Beauty,Pure Instinct Roll-On - The Original Pheromone Infused Essential Oil Perfume Cologne - Unisex For Men and Women - TSA Ready,3.9,72669,"['More than 20 years ago, Pure Instinct changed the ways we feel about ourselves and reconnect with others.\xa0 Again in 2021, Pure Instinct #pureinstinct took over TikTok as the most trusted and searched pheromone perfume and cologne as it was used and loved by hundreds of thousands of individuals. Experience Pure Instinct today!', 'The “ORIGINAL” formula with the most potent pheromone formulation (imported from Italy).', 'Blend with your skin PH to create a one-of-a-kind scent. Rich & silky texture for the perfect massages.\xa0 Use it in your next bath. Compatible with diffuser.', 'Alluring and timeless fragrance that you can wear it alone or layer it with your favorite perfume/cologne.', 'Body Safe - Made in USA and NOT Tested on Animals. FREE of Paraben, Gluten, Glycerin, Alcohol. 0.34oz / 10.2mL. TSA Travel Ready.']",16.95,0.0,7,2,5,59,4,16.75,1,,-0.8999999999999999,531,0,2022,3,14,23
5.0,These men will be all over you. Be careful sis💕,"Y’all I barely put a few dabs on my neck and my wrist when I go out and the response from men is crazy. I’ve never had a challenging time attracting men…let’s face it if you’re a woman and you are in your feminine energy you will attract men period. However, this product turns it up a notch. Just be mindful though because it is a little shocking at first how strong their attraction is to you…it’s almost like it’s animalistic in a way. That being said, I’ve decided to only wear this when I’m on a date. Be safe out there ladies. This stuff works a little too well. Oh! There is also a massage lotion made by the same company.",[],B00EJDG7XI,B0BLGN9N39,AEGQBHPAOKIRSBB47KZGTDPPNUTA,2022-03-23 01:34:11.093,17,True,"y’all i barely put a few dab on my neck and my wrist when i go out and the response from man be crazy . i ’ve never have a challenging time attract man … let ’s face it if you ’re a woman and you be in your feminine energy you will attract man period . however , this product turn it up a notch . just be mindful though because it be a little shocking at first how strong their attraction be to you … it ’ almost like it ’ animalistic in a way . that be say , i ’ve decide to only wear this when i ’m on a date . be safe out there lady . this stuff work a little too well . oh ! there be also a massage lotion make by the same company .",these man will be all over you . be careful sis 💕,barely dab neck wrist response man crazy challenging time attract man let face woman feminine energy attract man period product turn notch mindful little shocking strong attraction like animalistic way say decide wear date safe lady stuff work little oh massage lotion company,man careful sis,4,All Beauty,Pure Instinct Roll-On - The Original Pheromone Infused Essential Oil Perfume Cologne - Unisex For Men and Women - TSA Ready,3.9,72669,"['More than 20 years ago, Pure Instinct changed the ways we feel about ourselves and reconnect with others.\xa0 Again in 2021, Pure Instinct #pureinstinct took over TikTok as the most trusted and searched pheromone perfume and cologne as it was used and loved by hundreds of thousands of individuals. Experience Pure Instinct today!', 'The “ORIGINAL” formula with the most potent pheromone formulation (imported from Italy).', 'Blend with your skin PH to create a one-of-a-kind scent. Rich & silky texture for the perfect massages.\xa0 Use it in your next bath. Compatible with diffuser.', 'Alluring and timeless fragrance that you can wear it alone or layer it with your favorite perfume/cologne.', 'Body Safe - Made in USA and NOT Tested on Animals. FREE of Paraben, Gluten, Glycerin, Alcohol. 0.34oz / 10.2mL. TSA Travel Ready.']",16.95,0.003989673785496362,21,12,13,122,9,16.555555555555557,1,5.529499217527388,1.1,523,0,2022,3,23,1
5.0,WHAT?!,"Ummm... Sorcery. Sorcery! This is magic and I'm shook to my core! I was hesitant but hey, TikTok told me to buy... 0 regrets! My main squeeze has been like a mini human who clings for dear life against me when I wear it. I've had it for a couple weeks and have worn it for 5 days straight. results=man is obsessed with me. I decided maybe this was too good to be true so I stopped wearing it, believing maybe it was just that he loved me so damn much....NO. I was wrong. LOL. Days where this was not worn I did not get a slap on the booty or a cling for dear life. I wore it again the past 2 days and guess what!???!!! He's alllllllllllll over me. Love this stuff so much. The scent is light and fruity.",[],B00EJDG7XI,B0BLGN9N39,AF6L6GCILOYQXOUT2K2MJD7EQFXA,2021-05-25 14:33:14.191,3,True,"ummm ... sorcery . sorcery ! this be magic and i be shake to my core ! i be hesitant but hey , tiktok tell i to buy ... 0 regret ! my main squeeze have be like a mini human who cling for dear life against i when i wear it . i have have it for a couple week and have wear it for 5 day straight . result = man be obsess with i . i decide maybe this be too good to be true so i stop wear it , believe maybe it be just that he love i so damn much .... no . i be wrong . lol . day where this be not wear i do not get a slap on the booty or a cling for dear life . i wear it again the past 2 day and guess what ! ? ? ? ! ! ! he be alllllllllllll over i . love this stuff so much . the scent be light and fruity .",what ? !,ummm sorcery sorcery magic shake core hesitant hey tiktok tell buy regret main squeeze like mini human cling dear life wear couple week wear day straight result man obsess decide maybe good true stop wear believe maybe love damn wrong lol day wear slap booty cling dear life wear past day guess alllllllllllll love stuff scent light fruity,,4,All Beauty,Pure Instinct Roll-On - The Original Pheromone Infused Essential Oil Perfume Cologne - Unisex For Men and Women - TSA Ready,3.9,72669,"['More than 20 years ago, Pure Instinct changed the ways we feel about ourselves and reconnect with others.\xa0 Again in 2021, Pure Instinct #pureinstinct took over TikTok as the most trusted and searched pheromone perfume and cologne as it was used and loved by hundreds of thousands of individuals. Experience Pure Instinct today!', 'The “ORIGINAL” formula with the most potent pheromone formulation (imported from Italy).', 'Blend with your skin PH to create a one-of-a-kind scent. Rich & silky texture for the perfect massages.\xa0 Use it in your next bath. Compatible with diffuser.', 'Alluring and timeless fragrance that you can wear it alone or layer it with your favorite perfume/cologne.', 'Body Safe - Made in USA and NOT Tested on Animals. FREE of Paraben, Gluten, Glycerin, Alcohol. 0.34oz / 10.2mL. TSA Travel Ready.']",16.95,0.0007040600797934757,23,12,11,142,15,11.466666666666667,1,2.2126666666666672,1.1,825,0,2021,5,25,14
3.0,Good,Nice throwback to the 2000s,[],B00EJDG7XI,B0BLGN9N39,AHVZVOTCYCNGJIBJC2F5HOYFBKVA,2022-10-20 22:14:00.842,0,True,nice throwback to the 2000s,good,nice throwback,good,4,All Beauty,Pure Instinct Roll-On - The Original Pheromone Infused Essential Oil Perfume Cologne - Unisex For Men and Women - TSA Ready,3.9,72669,"['More than 20 years ago, Pure Instinct changed the ways we feel about ourselves and reconnect with others.\xa0 Again in 2021, Pure Instinct #pureinstinct took over TikTok as the most trusted and searched pheromone perfume and cologne as it was used and loved by hundreds of thousands of individuals. Experience Pure Instinct today!', 'The “ORIGINAL” formula with the most potent pheromone formulation (imported from Italy).', 'Blend with your skin PH to create a one-of-a-kind scent. Rich & silky texture for the perfect massages.\xa0 Use it in your next bath. Compatible with diffuser.', 'Alluring and timeless fragrance that you can wear it alone or layer it with your favorite perfume/cologne.', 'Body Safe - Made in USA and NOT Tested on Animals. FREE of Paraben, Gluten, Glycerin, Alcohol. 0.34oz / 10.2mL. TSA Travel Ready.']",16.95,0.0,1,1,0,5,1,5.0,4,,-0.8999999999999999,311,0,2022,10,20,22
3.0,Smells good,Can’t say that it “works” but it does smell good. Lol,[],B00EJDG7XI,B0BLGN9N39,AFRM5WRAZY3MNJORCPJZOCSYQLBQ,2021-08-15 17:45:52.624,0,True,"can not say that it "" work "" but it do smell good . lol",smell good,work smell good lol,smell good,4,All Beauty,Pure Instinct Roll-On - The Original Pheromone Infused Essential Oil Perfume Cologne - Unisex For Men and Women - TSA Ready,3.9,72669,"['More than 20 years ago, Pure Instinct changed the ways we feel about ourselves and reconnect with others.\xa0 Again in 2021, Pure Instinct #pureinstinct took over TikTok as the most trusted and searched pheromone perfume and cologne as it was used and loved by hundreds of thousands of individuals. Experience Pure Instinct today!', 'The “ORIGINAL” formula with the most potent pheromone formulation (imported from Italy).', 'Blend with your skin PH to create a one-of-a-kind scent. Rich & silky texture for the perfect massages.\xa0 Use it in your next bath. Compatible with diffuser.', 'Alluring and timeless fragrance that you can wear it alone or layer it with your favorite perfume/cologne.', 'Body Safe - Made in USA and NOT Tested on Animals. FREE of Paraben, Gluten, Glycerin, Alcohol. 0.34oz / 10.2mL. TSA Travel Ready.']",16.95,0.0,1,1,0,11,2,8.0,1,,-0.8999999999999999,743,0,2021,8,15,17
3.0,Doesn't do anything,"This product doesn't actually do anything, but it does smell really nice.",[],B00EJDG7XI,B0BLGN9N39,AELCQE7V3LJH45MGX6CHPCS537NQ,2021-10-07 15:22:43.174,0,True,"this product do not actually do anything , but it do smell really nice .",do not do anything,product actually smell nice,,4,All Beauty,Pure Instinct Roll-On - The Original Pheromone Infused Essential Oil Perfume Cologne - Unisex For Men and Women - TSA Ready,3.9,72669,"['More than 20 years ago, Pure Instinct changed the ways we feel about ourselves and reconnect with others.\xa0 Again in 2021, Pure Instinct #pureinstinct took over TikTok as the most trusted and searched pheromone perfume and cologne as it was used and loved by hundreds of thousands of individuals. Experience Pure Instinct today!', 'The “ORIGINAL” formula with the most potent pheromone formulation (imported from Italy).', 'Blend with your skin PH to create a one-of-a-kind scent. Rich & silky texture for the perfect massages.\xa0 Use it in your next bath. Compatible with diffuser.', 'Alluring and timeless fragrance that you can wear it alone or layer it with your favorite perfume/cologne.', 'Body Safe - Made in USA and NOT Tested on Animals. FREE of Paraben, Gluten, Glycerin, Alcohol. 0.34oz / 10.2mL. TSA Travel Ready.']",16.95,0.0,1,1,2,12,1,15.0,1,,-0.8999999999999999,690,0,2021,10,7,15
4.0,Nice smell but didn't do anything for me,"Honestly the only reason I purchased this was to see if it did anything or if it was noticeable. I've worn it 4-5 times and unfortunately, it didn't seem to have any effect on anyone close to me whenever I went out. Not even on my fiancé, and he didn't realize I was wearing a different scent until I showed him the bottle. But he did reassure me I didn't need some pheromone oil to be attractive to him so that was nice.<br /><br />It does smell really good, to me it's like a pleasant floral with a hint of citrus. The scent however didn't last very long on me and I've reapplied it at least twice in one day. That being said, my skin tends to absorb oils very quickly and as a result I don't use perfume oils very often.<br /><br />It might work better for someone else though, and I've been told it's exactly the same as the MLM Pure Romance's pheromone oil and much less expensive.",[],B00EJDG7XI,B0BLGN9N39,AEAUGLA76RMNUODPJPCY327QG3QA,2021-05-17 22:18:14.190,0,True,"honestly the only reason i purchase this be to see if it do anything or if it be noticeable . i have wear it 4 - 5 time and unfortunately , it do not seem to have any effect on anyone close to i whenever i go out . not even on my fiancé , and he do not realize i be wear a different scent until i show he the bottle . but he do reassure i i do not need some pheromone oil to be attractive to he so that be nice.<br /><br />it do smell really good , to i it be like a pleasant floral with a hint of citrus . the scent however do not last very long on i and i have reapplie it at least twice in one day . that be say , my skin tend to absorb oil very quickly and as a result i do not use perfume oil very often.<br /><br />it might work well for someone else though , and i have be tell it be exactly the same as the mlm pure romance 's pheromone oil and much less expensive .",nice smell but do not do anything for i,honestly reason purchase noticeable wear time unfortunately effect close go fiancé realize wear different scent show bottle reassure need pheromone oil attractive smell good like pleasant floral hint citrus scent long reapplie twice day say skin tend absorb oil quickly result use perfume oil work well tell exactly mlm pure romance pheromone oil expensive,nice smell,4,All Beauty,Pure Instinct Roll-On - The Original Pheromone Infused Essential Oil Perfume Cologne - Unisex For Men and Women - TSA Ready,3.9,72669,"['More than 20 years ago, Pure Instinct changed the ways we feel about ourselves and reconnect with others.\xa0 Again in 2021, Pure Instinct #pureinstinct took over TikTok as the most trusted and searched pheromone perfume and cologne as it was used and loved by hundreds of thousands of individuals. Experience Pure Instinct today!', 'The “ORIGINAL” formula with the most potent pheromone formulation (imported from Italy).', 'Blend with your skin PH to create a one-of-a-kind scent. Rich & silky texture for the perfect massages.\xa0 Use it in your next bath. Compatible with diffuser.', 'Alluring and timeless fragrance that you can wear it alone or layer it with your favorite perfume/cologne.', 'Body Safe - Made in USA and NOT Tested on Animals. FREE of Paraben, Gluten, Glycerin, Alcohol. 0.34oz / 10.2mL. TSA Travel Ready.']",16.95,0.0,20,10,17,170,6,34.333333333333336,1,11.412222222222223,0.10000000000000009,832,0,2021,5,17,22
3.0,"Sweet smell, results unsure","The scent is sweet and fruity, I can’t smell it after an hour. I’m not sure if it actually works, but I enjoy the sweet smell. I will say the first day I wore it, toward the end of the day my husband grabbed me in a passionate embrace and kiss before the kids interrupted. It was rather inordinate for the time and place, but I haven’t had enough experience with the product to relate it to the event. I will continue wearing it and provide a more detailed review in a few weeks.",[],B00EJDG7XI,B0BLGN9N39,AEH4XDBEFI2ENTTCMGTMKPS7WJUQ,2019-06-18 19:07:38.386,0,True,"the scent be sweet and fruity , i can not smell it after an hour . i ’m not sure if it actually work , but i enjoy the sweet smell . i will say the first day i wear it , toward the end of the day my husband grab i in a passionate embrace and kiss before the kid interrupt . it be rather inordinate for the time and place , but i have not have enough experience with the product to relate it to the event . i will continue wear it and provide a more detailed review in a few week .","sweet smell , result unsure",scent sweet fruity smell hour sure actually work enjoy sweet smell day wear end day husband grab passionate embrace kiss kid interrupt inordinate time place experience product relate event continue wear provide detailed review week,sweet smell result unsure,4,All Beauty,Pure Instinct Roll-On - The Original Pheromone Infused Essential Oil Perfume Cologne - Unisex For Men and Women - TSA Ready,3.9,72669,"['More than 20 years ago, Pure Instinct changed the ways we feel about ourselves and reconnect with others.\xa0 Again in 2021, Pure Instinct #pureinstinct took over TikTok as the most trusted and searched pheromone perfume and cologne as it was used and loved by hundreds of thousands of individuals. Experience Pure Instinct today!', 'The “ORIGINAL” formula with the most potent pheromone formulation (imported from Italy).', 'Blend with your skin PH to create a one-of-a-kind scent. Rich & silky texture for the perfect massages.\xa0 Use it in your next bath. Compatible with diffuser.', 'Alluring and timeless fragrance that you can wear it alone or layer it with your favorite perfume/cologne.', 'Body Safe - Made in USA and NOT Tested on Animals. FREE of Paraben, Gluten, Glycerin, Alcohol. 0.34oz / 10.2mL. TSA Travel Ready.']",16.95,0.0,17,9,3,94,5,21.8,1,7.704000000000004,-0.8999999999999999,1531,0,2019,6,18,19
3.0,"No difference, so no effect","I don’t notice any difference, the scent is nice but is not doing even half of the effect other people are writing in their reviews,",[],B00EJDG7XI,B0BLGN9N39,AHDQ7ZY2DLYGV3NKBLUBMET34DAQ,2022-10-19 18:22:05.604,1,True,"i do not notice any difference , the scent be nice but be not do even half of the effect other people be write in their review ,","no difference , so no effect",notice difference scent nice half effect people write review,difference effect,4,All Beauty,Pure Instinct Roll-On - The Original Pheromone Infused Essential Oil Perfume Cologne - Unisex For Men and Women - TSA Ready,3.9,72669,"['More than 20 years ago, Pure Instinct changed the ways we feel about ourselves and reconnect with others.\xa0 Again in 2021, Pure Instinct #pureinstinct took over TikTok as the most trusted and searched pheromone perfume and cologne as it was used and loved by hundreds of thousands of individuals. Experience Pure Instinct today!', 'The “ORIGINAL” formula with the most potent pheromone formulation (imported from Italy).', 'Blend with your skin PH to create a one-of-a-kind scent. Rich & silky texture for the perfect massages.\xa0 Use it in your next bath. Compatible with diffuser.', 'Alluring and timeless fragrance that you can wear it alone or layer it with your favorite perfume/cologne.', 'Body Safe - Made in USA and NOT Tested on Animals. FREE of Paraben, Gluten, Glycerin, Alcohol. 0.34oz / 10.2mL. TSA Travel Ready.']",16.95,0.0002346866932644919,6,2,1,25,1,29.0,1,,-0.8999999999999999,313,0,2022,10,19,18
