rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,text_cleaned,title_cleaned,text_cleaned1,title_cleaned1,text_sentiment,title_sentiment,text_sentiment_Original
5.0,Five Stars,Perfect! Delivered right to my door—no going from store to store looking for the right filter!,[],B00UXG4WR8,B00UXG4WR8,AFSJGCYOYHJGG2VBYGB7WLKHQ37A,2018-04-19 13:13:18.309,0,True,perfect ! deliver right to my door — no go from store to store look for the right filter !,five star,perfect deliver right door go store store look right filter,star,4,4,4
5.0,Easy setup and works!,I love how easy this filter replacement is! It takes only a few moments with almost no clean up!! Very happy with the purchase!,[],B00UXG4WR8,B00UXG4WR8,AEM54G6GVSBCFVMEWUKELLDH6CEQ,2021-08-16 22:38:55.964,0,True,i love how easy this filter replacement be ! it take only a few moment with almost no clean up ! ! very happy with the purchase !,easy setup and work !,love easy filter replacement take moment clean happy purchase,easy setup work,4,4,4
5.0,Too expensive,Works great but costs too much,[],B00UXG4WR8,B00UXG4WR8,AGKSSNLDIG5HY5FXYVE6UVXKVDYQ,2020-12-23 19:18:46.680,0,True,work great but cost too much,too expensive,work great cost,expensive,4,0,3
5.0,It’s easy to install,Last long and works great,[],B00UXG4WR8,B00UXG4WR8,AHU2GG5RF6YAEWUFNLH3QH5RHDNQ,2020-01-09 15:48:39.341,0,True,last long and work great,it ’ easy to install,long work great,easy install,4,4,4
2.0,"It's great when it works, but the last two of these we've had have gone bad in under a month.","We've purchased four of these from Amazon. The first had great flavor and flow the full 200 gallons/6 months.<br /><br />The second started tasting horrid in under a month.<br /><br />The third tasted fine but slowed to a trickle within a couple of weeks. It would say it took 70+oz to fill a 16oz glass.<br /><br />I'm returning the third one and have a fourth filter in — the third in less than two months. If it doesn't last, I'm switching to Kenwood coz this is ridiculous.",[],B00UXG4WR8,B00UXG4WR8,AGW2YFQE4AOEHCE747ESDJYULJMA,2022-03-12 23:28:36.573,0,True,"we have purchase four of these from amazon . the first have great flavor and flow the full 200 gallons/6 months.<br /><br />the second start taste horrid in under a month.<br /><br />the third taste fine but slow to a trickle within a couple of week . it would say it take 70+oz to fill a 16 oz glass.<br /><br />i'm return the third one and have a fourth filter in — the third in less than two month . if it do not last , i be switch to kenwood coz this be ridiculous .","it be great when it work , but the last two of these we have have have go bad in under a month .",purchase amazon great flavor flow second start taste horrid taste fine slow trickle couple week take fill oz return fourth filter month switch kenwood coz ridiculous,great work go bad month,0,4,0
5.0,Easy to install,Arrows show correct installation and color shows correct item,[],B00UXG4WR8,B00UXG4WR8,AFV6BWL6QR7PWS4DF7UPIGVKLFSQ,2021-03-15 14:04:00.160,0,True,arrow show correct installation and color show correct item,easy to install,arrow correct installation color show correct item,easy install,4,4,4
5.0,Pretty good filter,Ice cubes pretty clear for our hard water,[],B00UXG4WR8,B00UXG4WR8,AGUZUKK6FN2NT2ALWO63DUDHEGYA,2019-07-21 23:44:35.674,0,True,ice cube pretty clear for our hard water,pretty good filter,ice cube pretty clear hard water,pretty good filter,4,3,4
5.0,Exactly what I needed,"We recently moved into a new home, and the home came with the refrigerator. I had never had a refrigerator with a functional ice/water dispenser on the door before, and was really excited to begin using it. Upon opening my fridge, I noticed the water filter replacement light was bright red. I googled which filter I needed for my particular brand of fridge, and purchased it on Amazon.<br /><br />Upon delivery, I was a little stressed out because I had never replaced a water filter before, but it actually took longer to open the plastic packaging, than it did to replace the water filter. I ran a few gallons of water through it, as recommended by other reviews, and removed all of the pre-existing ice from the freezer compartment.<br /><br />I now have delicious tasting ice and water, and the water filter light is green. :)",[],B00UXG4WR8,B00UXG4WR8,AHJNM2ZAAY4ZDB4TLXYTGNJQTIUQ,2016-07-12 21:02:17.000,1,True,"we recently move into a new home , and the home come with the refrigerator . i have never have a refrigerator with a functional ice / water dispenser on the door before , and be really excited to begin use it . upon open my fridge , i notice the water filter replacement light be bright red . i google which filter i need for my particular brand of fridge , and purchase it on amazon.<br /><br />upon delivery , i be a little stress out because i have never replace a water filter before , but it actually take long to open the plastic packaging , than it do to replace the water filter . i run a few gallon of water through it , as recommend by other review , and remove all of the pre - existing ice from the freezer compartment.<br /><br />i now have delicious taste ice and water , and the water filter light be green . :)",exactly what i need,recently move new home home come refrigerator refrigerator functional ice water dispenser door excited begin open fridge notice water filter replacement light bright red google filter need particular brand fridge purchase delivery little stress replace water filter actually take long open plastic packaging replace water filter run gallon water recommend review remove pre existing ice freezer delicious taste ice water water filter light green,exactly need,4,4,4
4.0,Works well (I think) but super expensive,Works well enough (I think - hard to prove). Easy to install. Can't figure out 1/ why it's so expensive and 2/ why the price varies so much from month to month ($50-$100 each).,[],B00UXG4WR8,B00UXG4WR8,AEA2N24HPI7Z3SJGDCO3GOXQGJZQ,2023-02-24 18:02:22.685,1,True,work well enough ( i think - hard to prove ) . easy to install . can not figure out 1/ why it be so expensive and 2/ why the price vary so much from month to month ( $ 50-$100 each ) .,work well ( i think ) but super expensive,work think hard prove easy install figure expensive price vary month month,work think super expensive,4,0,4
5.0,Works better than expected,Works great,[],B00UXG4WR8,B00UXG4WR8,AEM2TBFCFATG5XXC6WDEQLCXJ2RA,2019-05-14 00:17:42.468,0,True,work great,work well than expect,work great,work well expect,4,4,4
5.0,Great filter,Fit great and easy install,[],B00UXG4WR8,B00UXG4WR8,AGEFDNQENF3GBKA5TR3SRXSZPWIA,2020-08-24 21:55:04.849,0,True,fit great and easy install,great filter,fit great easy install,great filter,4,4,4
5.0,Healthy,Peace of mind that my 2 liters of water I drink each day is filtered/healthy.,[],B00UXG4WR8,B00UXG4WR8,AHOIGJ45DGTDNC4O4GMFAU6B34ZA,2020-04-20 17:07:20.205,0,True,peace of mind that my 2 liter of water i drink each day be filter / healthy .,healthy,peace mind liter water drink day filter healthy,healthy,4,4,4
3.0,Easy to Install,This is a good replacement filter that is really easy to replace. Doesn't change the taste of water at all.,[],B00UXG4WR8,B00UXG4WR8,AHPHCZHQRUPLNKP4HCCWU4YW2BLA,2022-04-06 14:10:53.243,0,True,this be a good replacement filter that be really easy to replace . do not change the taste of water at all .,easy to install,good replacement filter easy replace change taste water,easy install,4,4,4
4.0,As advertised!,Filters water as advertised.,[],B00UXG4WR8,B00UXG4WR8,AHZFDG7WPSW22PL36KF2CGFFQMLA,2018-08-26 12:28:11.438,0,True,filter water as advertise .,as advertised !,filter water advertise,advertised,4,4,4
5.0,Works good,Works good. Filter doesn’t last very long,[],B00UXG4WR8,B00UXG4WR8,AHQDU3OWTVOBBDWD3P3C4DD6BHTA,2021-09-23 16:47:56.499,0,True,work good . filter do not last very long,work good,work good filter long,work good,4,4,3
