rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
1,Fell prey to the hype,I know it's a beloved Fragrance but it's not for me!! It's awful!!,[],B000P22TIY,B0BJMV1QTR,AEOQGP4XYSEKPXXBWAN4GWAPUO4Q,2022-07-16 03:08:34.101,0,True
5,Very clean and pleasant scent. Great value for the money.,I knew I wasn’t purchasing a high dollar cologne. However this has a very clean and pleasant scent that may need refreshing halfway through the day. Otherwise I consider it a great value for money and would recommend it.,[],B000P22TIY,B0BJMV1QTR,AHQV36LR2CZ2JIXQ472WAC3TCHKQ,2020-12-30 18:49:53.203,0,True
2,It’s ok,"Not great,  just ok scent",[],B000P22TIY,B0BJMV1QTR,AHBSL5FBY72KB63INTSP3SNGMFBQ,2023-03-06 16:54:37.945,0,True
5,Five Stars,great smell,[],B000P22TIY,B0BJMV1QTR,AHQKDADRWYPGGJFCUD3WI4ANDQXQ,2017-06-02 21:27:41.000,0,True
5,The Girls love it 😊,Nice smelling,[],B000P22TIY,B0BJMV1QTR,AGHQT3DXTUR3CK6FT36XA54GIOJA,2021-08-25 19:34:42.040,0,True
5,Smells amazing! My new favorite!,"The smell is just amazing, this is easily my favorite cologne. Sadly the scent isn't long-lasting but for the price point, I'm honestly not mad. I still think it'd a great deal for the size of the large bottle! Doesn't upset my allergies which is a definite plus.  I have allergies and can't wear cheaper fragrances with cheap ingredients for some reason (they drive my allergies crazy).<br /><br />I definitely recommend you try this, I love it!",[],B08F3W312Q,B0BJMV1QTR,AE7YYSYFEWAYIUCAK4W33CHPP4JQ,2021-01-11 09:55:14.675,0,False
5,Good gift,Smells nice,[],B000P22TIY,B0BJMV1QTR,AHS6NPL76RIXM6Z6VMCRZHU7XAUQ,2020-08-31 13:11:26.949,0,True
5,Five Stars,Smells great what else can I say?,[],B000P22TIY,B0BJMV1QTR,AGCKNJEV5GRYYAXD7PV32MW7J6JA,2014-10-15 22:29:02.000,0,True
5,Great fresh scent,"This is one of the nicer colognes I have ever owned. The scent isn't overwhelming and honestly just has a nice fresh scent to it. It lasts throughout the day really well, even with minimal usage in the morning. I will definitely keep purchasing this cologne for the foreseeable future.",[],B000P22TIY,B0BJMV1QTR,AG3XIAIYKMMG356ZP2UJ4RFQTJJA,2016-03-05 06:26:35.000,1,True
5,"Fresh, sweet","This product seems to last really long at least I know for sure from 4am to at least 9pm on my friend and smells great in my opinion, it does have a fresh slightly sweet scent",[],B000P22TIY,B0BJMV1QTR,AETN3SLYUN7XHPGGPPLKIM4TKJNQ,2019-05-18 07:55:28.129,0,True
5,my second favorite after AQUA  DI GIO by giorgio armani,very nice!,[],B000P22TIY,B0BJMV1QTR,AEPRHRH5RWRFVHVZLHKVXFGWHNMA,2017-12-25 07:20:35.707,0,True
3,The bottle looks really nice and I've read a lot of good reviews,"I had wanted this perfume for a long time. The bottle looks really nice and I've read a lot of good reviews. But when I finally got it and tried it on, I was a bit disappointed. This is only good for girls before high school, maybe. Very childish and cheap. I guess it is only meant for teenage girls.",[],B000JL7WQK,B07Z8FSKG4,AGX7RQ534JF43FBCRANIGJXOJCCQ,2015-12-08 06:29:47.000,0,True
5,Great value,Nice light scent that lasts true to the first time you put it on..,[],B000P22TIY,B0BJMV1QTR,AGUVBOCOJYPCE3KQAHXWD7UUX2AA,2019-07-22 10:51:04.867,0,True
4,Four Stars,"Great price and my girlfriend loves it. Unfortunately for her, so do the other girls.",[],B000P22TIY,B0BJMV1QTR,AGV67KQGYU6LLOH5CCXL5M6SYXQA,2015-12-15 01:14:22.000,0,True
5,Five Stars,Great,[],B000P22TIY,B0BJMV1QTR,AGSLEEXSIVCXECOALHV2FA6ZSTDQ,2015-01-20 18:40:36.000,0,True
5,great,I love the cologne and every time i wear it someone either gives me a compliment or asks me what i am wearing. Buy this for you or your man and you will not be disappointed!!,[],B000P22TIY,B0BJMV1QTR,AHHR7P3223QGAMHRIOREORJ7TFKA,2013-05-12 13:42:18.000,0,True
1,Disappointed,"My hubby's favorite scent, but unfortunately it doesn't work, the cap came busted, and got a little over half a bottle.","[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71Q4edD-iZL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71Q4edD-iZL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71Q4edD-iZL.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81YZ457-OPL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81YZ457-OPL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81YZ457-OPL.jpg', 'attachment_type': 'IMAGE'}]",B000P22TIY,B0BJMV1QTR,AEKDUGIUU2YDU2EYRPVAX32IT6GQ,2019-12-14 00:31:05.004,0,True
5,Great buy the real thing,Fantastic,[],B000P22TIY,B0BJMV1QTR,AGI7BGP3QHF33HRD765EEEQPSQLQ,2017-05-04 02:11:43.000,0,True
3,Top broke off,this was a gift and the top broke off-very disappointing,[],B000JL7WQK,B07Z8FSKG4,AHS2PSIEHHRL74MMLBPMXZTTNXRA,2015-04-02 19:14:26.000,0,True
5,Five Stars,Son loved it.,[],B000P22TIY,B0BJMV1QTR,AGMCF57E6Z75G5B5BLU4QZCCATAA,2016-05-31 17:56:31.000,0,True
5,... has always had expensive cologne that to me smelled horrible.. we had smelled this in the store ...,My husband has always had expensive cologne that to me smelled horrible..we had smelled this in the store together and loved the smell.Got it much cheaper on Amazon and it's the real deal...he smells wonderful now!!!,[],B000P22TIY,B0BJMV1QTR,AHVNT6VCYW2QPJTRR7Q4HWBOL2XA,2014-12-28 00:53:08.000,0,True
3,Didn't like the vanilla,"Many of the notes in this perfume are really pretty- I like the fruity and floral notes. The overall effect of them is fresh and feminine. The one thing I'm not happy with is the vanilla note- it doesn't blend well with the others, so I go back and forth between smelling fruity/floral and smelling vanilla, and it's heavy and powdery on me. For me, the vanilla ruined what would have otherwise been a very nice perfume.",[],B000JL7WQK,B07Z8FSKG4,AFK7Z2Q3GK2YVGN7VEBKPGIZPJOA,2014-06-09 02:40:07.000,8,False
5,Favorite Cologne,I have received many compliments from many of my female friends and even from strangers when I use this cologne.  It is not strong and has a very clean crisp scent ... I have several other colognes but this has become my favorite one to use. 5 stars,[],B000P22TIY,B0BJMV1QTR,AEG2W62TN7YK2NKVJADWTCHGMSZQ,2016-11-23 04:43:55.000,0,True
5,Loved this aroma,"Bought this for my son who loved the smell.  He says it is also a ""light"" smell that lasts all day.",[],B000P22TIY,B0BJMV1QTR,AGGFRZKUGNSVFAGCVBNJXFUPVADA,2021-12-27 21:51:50.620,0,True
5,Five Stars,my favorite,[],B000P22TIY,B0BJMV1QTR,AEKVM4LHIMBZSBX4RN4CZIDLZGIQ,2016-05-24 17:34:55.000,0,True
2,This has a clean fresh smell but nothing shines through in the scent!,Nothing special here unfortunately!,[],B000P22TIY,B0BJMV1QTR,AEM7LGN45DG2HZOY7LGWRX2DVVPQ,2021-03-23 23:26:43.888,0,True
5,As described no issues good product.,I am not a picky guy with colon so whatever works for me I just want cheap prices. It smells good.,[],B000P22TIY,B0BJMV1QTR,AEKR3GXVZURGV5Z2DI3E5YJU3YXA,2019-12-15 20:21:05.176,0,True
5,Great product,It smells great and last for long time . It’s great for daily use.,[],B000P22TIY,B0BJMV1QTR,AER2I7G67QPDIKY7SKYRUBSYW6IA,2019-06-15 19:20:38.936,0,True
5,Dependable,I agree with reviews; this is a GREAT VALUE for a scent that lasts.,[],B000P22TIY,B0BJMV1QTR,AGAEFWVHYKLEVGU7NM7MNWDAGOAA,2019-08-02 01:51:55.957,0,True
5,Very nice Perfume by Vera Wang,"I got this for my wife as a christmas present. Her wedding ring and band is Vera Wang, so I decided it will make a good gift.<br />It smells really good. Fresh, flowery, girly and princessy(if that is a word lol).<br />It arrived on time and my wife loves it. She gets lots of compliments and she wears it everyday.<br />I totally recommend this product.",[],B000JL7WQK,B07Z8FSKG4,AGNCDHBM6XY6PFK2V6QPMHJLVSHA,2018-01-02 17:27:19.667,1,True
5,Very nice scent,Bought for Xmas present. My newphaw loved it,[],B000P22TIY,B0BJMV1QTR,AEVYDFKRRNHUTW5LGEZUT7RDG64Q,2019-09-07 22:10:42.263,0,True
5,Great price and scent!,I recently bought Nautica Voyage N-83 and love it. This is totally different and I also like this very much. Has a citrus scent along with a clean masculine smell that last all day long. For the price you can't beat it!,[],B000P22TIY,B0BJMV1QTR,AEXLRZ34GTMM35NQRDZ4CDKKXLIA,2016-03-28 21:56:45.000,2,True
5,La fragancia perdura,A mi esposo le encanto,[],B000P22TIY,B0BJMV1QTR,AFSVBXQQHRZ3CG7Z4ZYO2BV76DTQ,2021-03-01 01:11:38.380,0,True
5,Five Stars,son liked it.,[],B000P22TIY,B0BJMV1QTR,AE7AEHSZ7XZANC3RSQYATRQIVJRA,2015-06-12 07:14:23.000,0,True
5,Five Stars,QUICK DELIVERY NICE PRODUCT AND PRICE AA++,[],B000P22TIY,B0BJMV1QTR,AEQXQFSGQSKIDU7EAFJYUSA4ZPLQ,2017-09-27 07:33:01.091,0,True
5,The Real Deal,Quality fragrance. Genuine Article,[],B000P22TIY,B0BJMV1QTR,AGD35IFTJR6FRB5PMTNELG2MPVRQ,2017-01-02 12:09:22.000,0,True
5,Five Stars,Still out of stocks but smells refreshing and gets many compliments,[],B000P22TIY,B0BJMV1QTR,AFRRU7NYREFRX5OVWCQTHM77IV5A,2017-12-24 04:23:47.608,0,False
4,good,good,[],B000P22TIY,B0BJMV1QTR,AFQBIQZN3BI56JBSQLUDEOQVBMRA,2019-03-31 22:07:00.215,0,True
5,Five Stars,Smells great. Not too strong and not the typical musk.,[],B000P22TIY,B0BJMV1QTR,AEJ4EPP7KET7OHX57HDRNRUXN4ZA,2016-05-18 00:04:23.000,0,True
5,Nautica Voyage for Men,A very pleasant and refreshing scent for a man who likes a fragrance that is not overwhelming to his women. Smells very nice.,[],B000P22TIY,B0BJMV1QTR,AGYHIS3FCJORRF4L5WMWNXCFFODQ,2014-02-18 08:50:24.000,0,True
5,Five Stars,Smells great!,[],B000P22TIY,B0BJMV1QTR,AF5NDDZ6BXWH4NJN6DX4EL546BYA,2016-08-15 00:06:41.000,1,True
5,Good Price,Great smell. Good price for size,[],B000P22TIY,B0BJMV1QTR,AFXFTLUHHKAXD6K5W6XLNDX3ICGA,2020-02-01 11:35:25.817,0,True
5,Son productos buenos,Ya he llegado,[],B000P22TIY,B0BJMV1QTR,AFPL5RZYBRHY3QMRWZN2MLRNNPOA,2022-06-22 00:10:52.911,0,True
5,Great smell,Use it for years,[],B000P22TIY,B0BJMV1QTR,AG4KBJTZRSR5RFZFW4I4QHRDDMTQ,2021-09-20 21:52:21.328,0,True
4,Potent!,"The smell definitely lasts, but the longevity is undermined with the fact that it is not as fragrant as other colognes I have used. Overall a good product, but I have gotten better compliments using other brands.",[],B000P22TIY,B0BJMV1QTR,AF4YYZK4X7NNUSKI7DTGFCEMU7FA,2014-01-04 03:43:09.000,0,True
5,Gave as a gift,Given as a gift and they love it,[],B000P22TIY,B0BJMV1QTR,AERTFJMIARGTX7K7OQ6W72EJC4JA,2023-02-18 19:48:49.188,0,True
4,Smells good,"Has a sailer smell to it and I like it, it's strong but fades in about three hours.",[],B000P22TIY,B0BJMV1QTR,AFRGSROI7T5UAGPS3UJDGCTK4HDQ,2017-02-02 02:25:08.000,1,True
1,"Pésimo,no tiene la fragancia ,no sirve","Muy mala calidad ,no sirve ,no huele nada ,mi peor compra ,no la recomiendo",[],B000P22TIY,B0BJMV1QTR,AFZHTIUUCNJGEV73ECOLVJY6ZLWQ,2023-01-13 00:44:06.101,0,True
5,Nautica -men's fragrance,"Nice men's fragrance. Packaged very well for travel through the mail without any leaks. Light, fresh scent.",[],B000P22TIY,B0BJMV1QTR,AECIUBJO4LW74BZU5VEZI2TQJEXQ,2017-01-13 00:05:45.000,0,True
1,high reviews ??,"Hmm...don't quite understand high reviews …scent doesn't last long, hour or so",[],B000P22TIY,B0BJMV1QTR,AE5E3IWCVFTD2WCZ5EBQUDSWNNZA,2022-04-12 21:07:45.579,1,True
5,Good value,Smells clean and fresh,[],B08F3W312Q,B0BJMV1QTR,AEECILD5FFGYX6ACGTTXH75RL5DQ,2022-10-18 14:29:23.561,0,True
5,Muy buena fragancia para el uso diario en oficina,"Dura mínimo 6 horas, buena fragancia para uso en oficina",[],B08F3W312Q,B0BJMV1QTR,AED6ONQGNLQ6I644SMZAJ4HO7M7Q,2022-08-13 01:38:49.557,0,True
5,Hasn’t changed😊,"I bought this for by boyfriend for Christmas and he loved it! He used to wear it, but hasn’t for years so it brought back a lot of good memories.",[],B000P22TIY,B0BJMV1QTR,AEBOQ64C5R5ANZ6QJA7N2AMOMPIQ,2021-01-25 19:23:34.141,0,True
5,Mmmmm,I love this scent on my partner. It's strong enough that a few spritzes is enough and the scent holds for a long time.,[],B000P22TIY,B0BJMV1QTR,AFY4T3AIE2V6ZXJHTPSHZ6YJEOUA,2019-01-01 09:29:54.998,0,True
5,Smells so good!!,I bought this for my teen boy. He loves it and uses it everyday. The smell is mild and stays long. Good quality for the price!!,[],B000P22TIY,B0BJMV1QTR,AEWZX2GVYFVWC6O6DW3ZLL2ACYEQ,2016-01-17 12:56:51.000,1,True
5,Good price for the size,Husband loves it. Good price for the size.,[],B000P22TIY,B0BJMV1QTR,AHVEPKQCMXS74URGG5PZUAUEYS5Q,2016-03-11 04:51:59.000,0,True
5,2,2,[],B000JL7WQK,B07Z8FSKG4,AEP7FYEHCAKFBMTF54FRHLZ2LPAA,2023-03-16 17:32:25.948,0,True
5,Great Smell for the Price,"I bought this for my son but for the price I'd recommend anyone grab this fragrance whether you're new to them or have a medicine cabinet full of them. Works great as an all around day time crowd pleaser that won't offend anyone. He uses it mainly for when he’s working out at the gym, at work, or running errands. Doesn't last more than about 4-6 hours before it stops projecting, but at its price point and its intended uses it fits the bill perfectly so you can conserve your more expensive fancier colognes. Definitely a daytime Spring or Summer scent. Very Fresh smelling. He says out of all this colognes this one is by far the best smelling and seems to last the longest. When he does put it on you can definitely smell it and it has a very pleasant scent.",[],B000P22TIY,B0BJMV1QTR,AERRSRCB7H37BUZKMWFNYJC4242A,2020-04-03 19:29:48.110,1,True
5,Nice perfume!,Lovely bottle.  I wish the smell lasted a bit longer.,[],B000JL7WQK,B07Z8FSKG4,AF5YIFZNFZAN2IXHEMT4W46RBBOA,2020-03-20 23:32:03.431,0,True
5,Five Stars,Love this scent,[],B000P22TIY,B0BJMV1QTR,AG2BSQ6RLRYTUY6JZRNVQRIOVJIQ,2017-08-14 22:59:24.286,0,True
5,Five Stars,"Long lasting, smells great",[],B000P22TIY,B0BJMV1QTR,AH7J7JBGEZI374KNK47XBGKRQSUQ,2015-12-29 05:23:03.000,0,True
5,Perfume as expected...,"I think I thought this smelt a bit off when I first got it, really alcoholly but then I realized the perfume I had just finished had been around a while and as things age/breakdown the smell changes. Smells as it should now and matched the roller ball perfume I also have.  No complaints. I would recommend :)",[],B000JL7WQK,B07Z8FSKG4,AFYULQQ2JRWN366FDA6CNLZVQC2A,2013-01-16 23:22:42.000,0,True
