rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
5,Cute but small,Suler cute but small,[],B07VFJZ3V4,B01EY96W72,AGZZ35KI6RBFZYHG4TZPOAIACVMA,2020-12-17 04:04:11.412,0,True
5,Perfect wet/dry detangling brush,Shaped to fit in the palm of your hand (right handed). It makes combing through wet or tangled hair virtually painless!,[],B07L61DNMR,B01EY96W72,AEVEM6GEISW37CMVIPKUJBRVGT5A,2021-02-03 21:00:16.226,0,True
5,Buy it!! First time my granddaughter wasn't screaming.,My granddaughter has long hair with just enough curl to develop tangles and knots. This lil brush is the first time she wasn't screaming and actually could brush her hair thoroughly on her own instead of giving up. Her mom even liked it eno to use it instead of her normal Brush. She thinks it may be because the bristles are shorter. But we're very happy with this purchase.,[],B00JJ7T2V8,B01EY96W72,AEUB5D7J3DHZLJG464FXDDVMMUGA,2021-12-18 23:05:28.660,0,True
5,Five Stars,Great,[],B0045U707M,B01EY96W72,AGNT2ATDIBIMEILV35LRWFE4FBXA,2014-07-09 13:11:00.000,0,False
4,"Gets the job done, works well, great for keeping in a purse or backpack.","I love this brush.  I love that it has a cap for the bristles that helps keep hair from getting into my bag, protects the bristles, and keeps stuff from getting stuck in the bristles.  It brushes well.  I use it on my wet hair every day without significant breakage or hairs being pulled.  It is compact enough to be tossed in a purse or backpack without being awkward.  The only thing I don't LOVE this brush for is heat styling.  I can't hold hair in the brush and blowdry like I can with my other brushes.  That being said, I don't usually heat style.  I would be happy to recommend this brush to anyone looking for something that can do the job!",[],B0045U2Z72,B01EY96W72,AGAT223JYYC4N44BDQOUUSY67Z5A,2015-03-02 20:56:41.000,0,False
5,Best brush for tangles!,The tangle teaser blows the wet brush out of the water with how easy it is to brush wet tangled hair! My only wish is for the “ bristles” to be softer on the tips. But just don’t push hard on the scalp and you’ll be fine.,[],B01DEL836O,B01EY96W72,AF5RPIF7VLFO7VUXA7YV6VHT5TZA,2020-03-27 15:59:33.639,0,True
5,Best brushes!,These are great on toddlers who hate having their hair brushed!  Cannot recommend enough.,[],B008HJRLXK,B01EY96W72,AFN4PTADBSCHL7JBMWZBJ4YJNNCA,2019-01-12 19:08:46.676,0,True
4,Good for travel,it's easy to bring with you during the trip. not a magic brush but does leave the hair smooth and shine.,[],B0045U707M,B01EY96W72,AEUVQWJTM2JLO5KM2KW5PV2JJOIA,2013-10-02 12:01:50.000,1,True
5,She tolerates it-I think because it’s a unicorn,"I ordered this for my 3-year old granddaughter. Once she saw the unicorn, she was onboard for letting me try to brush her hair.<br />It did generate a lot of static electricity. Small consequence to get the hair brushed.",[],B07VFJZ3V4,B01EY96W72,AEVQZEIMZMNZMWDZ4EPVX5RHVIOQ,2021-09-05 12:40:17.915,0,True
5,Five Stars,This is perfect brush!!!!,[],B008HJRLXK,B01EY96W72,AHDI4VPUEZAOGUETM34ZZ6G2LHCA,2016-09-30 15:00:38.000,0,True
5,Love it!  Great color choices!,"great purchase for long hair, especially long wet hair after swim team practice!  Very smooth going through hair, No snagging your hair or breakage!  Well worth the money, although the price was great!  I plan on buying a few more, perfect to keep in the swim bag and also give as gift for teen girls!",[],B008HJRLXK,B01EY96W72,AGACSVEOZDV56VVIZ3GEKLZXFLDA,2016-01-27 03:04:48.000,0,True
4,Good travel tool.,"I had gotten this.  It makes wigs a bit frizzy but on natural hair it's okay.  Not the best brush, especially if you have a knot but good for travel.  Fits in the purse and can come those stray hairs from driving with your car window open",[],B0045U707M,B01EY96W72,AEH7KSVEFBYK3C7F4HCQPP6UV74A,2014-10-16 14:44:08.000,0,True
5,It really works,I was pleasantly surprised that this actually does what it says it does. It gets rid of the snarls and doesn't cause tons of pain in the process. Happy grandma.,[],B07L5QFNKM,B01EY96W72,AFIH52LJW3QEIOZMN6M7D77SOCSQ,2021-05-20 10:14:57.198,0,True
5,Five Stars,Amazing! Great for long hair that gets tangled when wet. This makes brushing hair simple and painless!,[],B0045U707M,B01EY96W72,AFMEJ73ENYFYRRT2VAMZYSJXL4ZQ,2014-10-06 19:36:44.000,0,True
5,Recommend! Works! Doesn't pull nearly as much on curly hair!!,"I really love this brush! It works well! I tried it on my own hair before using it for my toddlers, which is the reason i bought it. But my youngest and i have the same hair type, thick curly hair. It didn't pull nearly as much!! I use detangling spray with it and it's way better than our old brush! I recommend!!","[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61GHgJj0RRL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61GHgJj0RRL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61GHgJj0RRL.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71+LD7eMtVL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71+LD7eMtVL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71+LD7eMtVL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/718Wn9WsMUL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/718Wn9WsMUL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/718Wn9WsMUL.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/719g99tqoGL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/719g99tqoGL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/719g99tqoGL.jpg', 'attachment_type': 'IMAGE'}]",B07L5QFNKM,B01EY96W72,AH4L6APZD375POUGVMK4UYDK5OJQ,2020-02-23 19:02:26.221,14,True
5,Great for long hair - easy to use!,This brush is great for long hair. It is easy to hold and pull through hair yet does not pull hair out. It is a great for working through tangles. Recommend.,[],B0086QEO7K,B01EY96W72,AFLDIXYRF6XTPME7IYHALKWGXECA,2020-07-01 14:50:19.932,0,True
