rating,title_x,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,main_category,title_y,average_rating,rating_number,features,price,text_cleaned,text_cleaned1,sentiment
4,If you are an ACDC fan you need to get this.,At first I wasn't impressed but now that I've played it a few times and learned the lyrics it's almost as good as their old stuff but not quite..,[],B08KGT79CH,B08KGT79CH,AFKFHMYWG3YOLBKXELZKCAKVGGMA,2021-07-15 18:48:45.142,0,True,Digital Music,POWER UP,4.8,28753,[],8.85,at first i be not impressed but now that i have play it a few time and learn the lyric it be almost as good as their old stuff but not quite ..,impressed play time learn lyric good old stuff,2
4,A Showcase of Lessons Learned and Love Lost - A Cry of a Soul in Emotional Torment!,"Over the years I've heard many Adele songs and she always seemed to be singing about one man from a long time ago that she seemed to have a hard time getting over. In this one she is again singing about men, men who do not appreciate her for the beautiful soul she is. My one thought after listening to this CD is that Adele needs to fall in love with God, not another man! Her soul is craving the unconditional love only God can give her. A man should be second place to God.<br /><br />Many of the songs on this album are like therapy sessions where she is talking about her issues, even crying openly. I admit it is somewhat difficult to listen to unless you've been through depression and can relate. As someone who has fallen in love and been hurt in the past I know human love in a relationship falls short of most people's expectations.<br /><br />One thing I did consider is that this CD is like a warning for people who listen to it. The lyrics about just wanting to have fun even when something is not right is a huge red flag. It shows what can happen to people when they have this attitude and don't consider their spiritual health. Everyone makes mistakes!<br /><br />The battle between the heart and mind can lead a person to a state that is not pleasant to live in. Either Adele has learned this valuable lesson or she will make more albums with her pain. Yes, it is hard to try, we all can relate. But she can be free an happy again if she focuses more on God and less on men to satisfy the cry of her emotional torment.<br /><br />My copy was also cracked on the front and it was sent in a box! So not sure why all these copies are cracked! Maybe it is symbolic like something is broken. A heart!<br /><br />~The Rebecca Review",[],B09HVRTMFX,B09HVRTMFX,AGWDYYVVWM3DC3CASUZKXK67G6IA,2021-12-05 20:23:04.347,9,True,Digital Music,30,4.6,39104,[],7.27,"over the year i have hear many adele song and she always seem to be singe about one man from a long time ago that she seem to have a hard time get over . in this one she be again singe about man , man who do not appreciate she for the beautiful soul she be . my one think after listen to this cd be that adele need to fall in love with god , not another man ! her soul be crave the unconditional love only god can give she . a man should be second place to god.<br /><br />many of the song on this album be like therapy session where she be talk about her issue , even cry openly . i admit it be somewhat difficult to listen to unless you have be through depression and can relate . as someone who have fall in love and be hurt in the past i know human love in a relationship fall short of most people 's expectations.<br /><br />one thing i do consider be that this cd be like a warning for people who listen to it . the lyric about just want to have fun even when something be not right be a huge red flag . it show what can happen to people when they have this attitude and do not consider their spiritual health . everyone make mistakes!<br /><br />the battle between the heart and mind can lead a person to a state that be not pleasant to live in . either adele have learn this valuable lesson or she will make more album with her pain . yes , it be hard to try , we all can relate . but she can be free an happy again if she focus more on god and less on man to satisfy the cry of her emotional torment.<br /><br />my copy be also crack on the front and it be send in a box ! so not sure why all these copy be crack ! maybe it be symbolic like something be break . a heart!<br /><br />~the rebecca review",year hear adele song singe man long time ago hard time get singe man man appreciate beautiful soul think listen cd adele need fall love god man soul crave unconditional love god man second place song album like therapy session talk issue cry openly admit somewhat difficult listen depression relate fall love hurt past know human love relationship fall short people thing consider cd like warning people listen lyric want fun right huge red flag show happen people attitude consider spiritual health make battle heart mind lead person state pleasant live adele learn valuable lesson album pain yes hard try relate free happy focus god man satisfy cry emotional copy crack send box sure copy crack maybe symbolic like break rebecca review,4
5,Adele One-Upped Herself!,Ignore these other comments - this album is amazing and even more deep than her first. It’s REAL. And some people just can’t handle raw life. Way to sing the crap out of yourself girl!,[],B09HVRTMFX,B09HVRTMFX,AFSVOL4QITWPJPMOAVVZIT34ZACA,2022-01-24 00:40:20.849,0,False,Digital Music,30,4.6,39104,[],7.27,ignore these other comment - this album be amazing and even more deep than her first . it ’ real . and some people just can not handle raw life . way to sing the crap out of yourself girl !,ignore comment album amazing deep real people handle raw life way sing crap girl,4
5,New road trip cd,Gift well received,[],B08KGT79CH,B08KGT79CH,AFJMUEPO2EIDJMPTIOVEUPXOM7YQ,2020-12-21 11:41:12.727,0,True,Digital Music,POWER UP,4.8,28753,[],8.85,gift well receive,gift receive,4
3,Not her best:(,I ordered this cd 2 times both came broke. I love her music and was super excited the day I found out she had new music.  Unfortunately this is not her best work.  I only liked about 2 songs.,[],B09HVRTMFX,B09HVRTMFX,AGTSW5XLVDFJ5CMK24TEX5R6GKPQ,2021-11-23 17:55:52.430,2,True,Digital Music,30,4.6,39104,[],7.27,i order this cd 2 time both come broke . i love her music and be super excited the day i find out she have new music .   unfortunately this be not her good work .   i only like about 2 song .,order cd time come broke love music super excited day find new music unfortunately good work like song,1
3,Don’t get me wrong I love Adele I didn’t seem like her type of music is really differentd today,Don’t get me wrong I love Adele but the city I did not like at all I didn’t seem like her type of music is really different,[],B09HVRTMFX,B09HVRTMFX,AFDMBP5WKTPK4TUMUXPDDDQOFP2A,2022-01-15 02:07:49.844,0,True,Digital Music,30,4.6,39104,[],7.27,do not get i wrong i love adele but the city i do not like at all i do not seem like her type of music be really different,wrong love adele city like like type music different,1
5,ac/dc...great band. great music.,ac/dc...great band. great music.,[],B08KGT79CH,B08KGT79CH,AGEWBBUZEXZJVYISJRSDQZIA7PIQ,2021-11-21 06:46:52.170,0,True,Digital Music,POWER UP,4.8,28753,[],8.85,ac / dc ... great band . great music .,ac dc great band great music,4
4,Slightly disappointed,"I love Adele so much and have enjoyed all of her music and when ‘30’ was announced I was anxious to receive it. I’m afraid it was a bit of a let down for me. It’s rather depressing, to me anyway but that’s just my opinion. I still love her though. Hopefully the next one will be more upbeat.",[],B09HVRTMFX,B09HVRTMFX,AEKLS7IGU7RQ4PDKDFT2SLRSK6YA,2022-02-07 22:08:36.561,0,True,Digital Music,30,4.6,39104,[],7.27,"i love adele so much and have enjoy all of her music and when ' 30 ' be announce i be anxious to receive it . i ’m afraid it be a bit of a let down for i . it ’ rather depressing , to i anyway but that ’ just my opinion . i still love she though . hopefully the next one will be more upbeat .",love adele enjoy music announce anxious receive afraid bit let depressing opinion love hopefully upbeat,3
5,Get your jam on,It’s Adele and she is great!  Buy it and listen.,[],B09HVRTMFX,B09HVRTMFX,AF6XJEYV6L57IQ7F5VYUDGVVYDGQ,2022-10-16 04:53:21.944,3,True,Digital Music,30,4.6,39104,[],7.27,it ’ adele and she be great !   buy it and listen .,adele great buy listen,4
5,Always on time.,Was so happy to receive as soon as it hit the stores.,[],B09HVRTMFX,B09HVRTMFX,AGNMMMK5NP5CI5HDVEXM2Q43ER6A,2021-12-09 19:38:15.517,0,True,Digital Music,30,4.6,39104,[],7.27,be so happy to receive as soon as it hit the store .,happy receive soon hit store,4
